year,state,median_sale_price,homes_sold,population,migration_total,pop_change
2014,Rhode Island,196294,46976,1045791,32621,4805
2014,South Carolina,171548,169702,4780659,171969,60057
2014,South Dakota,147047,15512,842076,28198,9373
2014,Tennessee,152656,254574,6471445,182130,52219
2014,Texas,184333,988630,26588600,538572,501251
2014,Utah,218908,149552,2894001,90234,39334
2014,Vermont,210037,26676,620898,22635,-358
2014,Virginia,279592,294246,8224054,262477,60390
2014,Washington,288202,346780,6979369,220259,90817
2014,West Virginia,150819,13046,1831414,47957,-6449
2014,Wisconsin,121732,85866,5692727,117831,11703
2015,Alabama,155742,130530,4801599,114876,9668
2015,Alaska,275729,30732,727862,34696,2656
2015,Arizona,174132,415464,6747595,253281,95631
2015,Arkansas,135323,95042,2938341,81594,7218
2015,California,480982,1483432,38675135,514477,334811
2015,Colorado,325412,326862,5393067,227445,99124
2015,Connecticut,167844,86600,3554844,76997,-4071
2015,Delaware,172887,33380,935813,44495,11043
2015,Florida,179217,1401736,20068392,584938,384629
2015,Georgia,175913,473692,10088525,283325,118358
2015,Hawaii,543038,55502,1414355,53742,13351
2015,Idaho,191173,90142,1635366,73809,22298
2015,Illinois,185363,592450,12706393,209828,-23813
2015,Indiana,124523,195566,6540691,147529,24510
2015,Iowa,151881,54426,3081446,85937,13574
2015,Kansas,140097,93728,2875640,91340,9056
2015,Kentucky,136757,134148,4373403,106918,15584
2015,Louisiana,176078,119924,4612024,93321,18519
2015,Maine,132440,23198,1317444,30123,-194
2015,Maryland,214340,303902,5934005,168894,22770
2015,Massachusetts,349307,312386,6725678,132642,50771
2015,Michigan,115006,510568,9811416,142639,15757
2015,Minnesota,185093,308130,5419822,108476,34603
2015,Mississippi,129102,50364,2959289,69351,1631
2015,Missouri,126285,228616,6015580,159152,23385
2015,Nebraska,155515,72300,1869217,52950,13861
2015,Nevada,174392,192962,2859489,135999,53319
2015,New Hampshire,201537,83522,1318121,53446,3386
2015,New Jersey,228300,236516,8854363,144074,14017
2015,New Mexico,270079,9684,2060441,55753,252
2015,New York,200493,324418,19570171,257611,41951
2015,North Carolina,170870,396280,9927547,310612,95395
2015,Ohio,112877,527882,11482142,203475,17251
2015,Oklahoma,127665,154516,3864908,110878,37620
2015,Oregon,258257,248296,3985712,141162,57855
2015,Pennsylvania,167840,443816,12662192,232683,16304
2015,Rhode Island,206533,51576,1045062,38344,-729
2015,South Carolina,188087,195020,4839984,170366,59325
2015,South Dakota,154498,17336,848285,26962,6209
2015,Tennessee,165217,289726,6522259,195923,50814
2015,Texas,195893,1025152,27092848,553032,504248
2015,Utah,231280,173462,2947423,97361,53422
2015,Vermont,200910,29964,619952,21232,-946
2015,Virginia,267707,410200,8283737,277715,59683
2015,Washington,316177,398660,7089143,230907,109774
2015,West Virginia,157931,13996,1823753,42078,-7661
2015,Wisconsin,134087,121336,5708201,106511,15474
2016,Alabama,171302,143296,4810126,122220,8527
2016,Alaska,284869,29868,731760,31300,3898
2016,Arizona,190070,446360,6851836,273257,104241
