current_state,year,population,from,from_different_state_Total
Alabama,2013,4781296,Alabama,104102
Alaska,2013,725193,Alabama,34360
Arizona,2013,6543362,Alabama,236146
Arkansas,2013,2923642,Alabama,70621
California,2013,37873189,Alabama,485477
Colorado,2013,5206012,Alabama,206543
Connecticut,2013,3562959,Alabama,88351
Delaware,2013,914025,Alabama,36790
District of Columbia ,2013,636535,Alabama,46571
Florida,2013,19345059,Alabama,529406
Georgia,2013,9870319,Alabama,278972
Hawaii,2013,1387361,Alabama,58083
Idaho,2013,1592596,Alabama,61592
Illinois,2013,12740816,Alabama,223605
Indiana,2013,6492306,Alabama,133508
Iowa,2013,3053635,Alabama,75650
Kansas,2013,2854869,Alabama,89735
Kentucky,2013,4345186,Alabama,103207
Louisiana,2013,4568320,Alabama,91889
Maine,2013,1315753,Alabama,36780
Maryland,2013,5857213,Alabama,161525
Massachusetts,2013,6619999,Alabama,135150
Michigan,2013,9784094,Alabama,144091
Minnesota,2013,5353441,Alabama,104825
Mississippi,2013,2957797,Alabama,68588
Missouri,2013,5973448,Alabama,159936
Montana,2013,1003013,Alabama,40035
Nebraska,2013,1842900,Alabama,45854
Nevada,2013,2757365,Alabama,126583
New Hampshire,2013,1310978,Alabama,44867
New Jersey,2013,8803679,Alabama,136907
New Mexico,2013,2059689,Alabama,56808
New York,2013,19431954,Alabama,272066
North Carolina,2013,9737365,Alabama,275922
North Dakota,2013,714804,Alabama,38908
Ohio,2013,11439593,Alabama,185749
Oklahoma,2013,3801521,Alabama,109255
Oregon,2013,3888216,Alabama,143841
Pennsylvania,2013,12639493,Alabama,224280
Rhode Island,2013,1040986,Alabama,34108
South Carolina,2013,4720602,Alabama,166047
South Dakota,2013,832703,Alabama,30042
Tennessee,2013,6419226,Alabama,186525
Texas,2013,26087349,Alabama,548034
Utah,2013,2854667,Alabama,97869
Vermont,2013,621256,Alabama,23180
Virginia,2013,8163664,Alabama,266348
Washington,2013,6888552,Alabama,208215
West Virginia,2013,1837863,Alabama,51957
Wisconsin,2013,5681024,Alabama,100846
Wyoming,2013,575933,Alabama,27584
Puerto Rico,2013,3579220,Alabama,24652
Alabama,2014,4791931,Alabama,107919
Alaska,2014,725206,Alabama,37842
Arizona,2014,6651964,Alabama,249730
Arkansas,2014,2931123,Alabama,74741
California,2014,38340324,Alabama,513968
Colorado,2014,5293943,Alabama,218728
Connecticut,2014,3558915,Alabama,82746
Delaware,2014,924770,Alabama,32166
District of Columbia ,2014,648586,Alabama,56234
Florida,2014,19683763,Alabama,546501
Georgia,2014,9970167,Alabama,274095
Hawaii,2014,1401004,Alabama,58144
Idaho,2014,1613068,Alabama,64633
Illinois,2014,12730206,Alabama,209536
Indiana,2014,6516181,Alabama,139846
Iowa,2014,3067872,Alabama,79194
Kansas,2014,2866584,Alabama,96467
Kentucky,2014,4357819,Alabama,104975
Louisiana,2014,4593505,Alabama,97814
Maine,2014,1317638,Alabama,39065
