current_state,year,population,from,from_different_state_Total
Colorado,2013,5206012,Illinois,206543
Connecticut,2013,3562959,Illinois,88351
Delaware,2013,914025,Illinois,36790
District of Columbia ,2013,636535,Illinois,46571
Florida,2013,19345059,Illinois,529406
Georgia,2013,9870319,Illinois,278972
Hawaii,2013,1387361,Illinois,58083
Idaho,2013,1592596,Illinois,61592
Illinois,2013,12740816,Illinois,223605
Indiana,2013,6492306,Illinois,133508
Iowa,2013,3053635,Illinois,75650
Kansas,2013,2854869,Illinois,89735
Kentucky,2013,4345186,Illinois,103207
Louisiana,2013,4568320,Illinois,91889
Maine,2013,1315753,Illinois,36780
Maryland,2013,5857213,Illinois,161525
Massachusetts,2013,6619999,Illinois,135150
Michigan,2013,9784094,Illinois,144091
Minnesota,2013,5353441,Illinois,104825
Mississippi,2013,2957797,Illinois,68588
Missouri,2013,5973448,Illinois,159936
Montana,2013,1003013,Illinois,40035
Nebraska,2013,1842900,Illinois,45854
Nevada,2013,2757365,Illinois,126583
New Hampshire,2013,1310978,Illinois,44867
New Jersey,2013,8803679,Illinois,136907
New Mexico,2013,2059689,Illinois,56808
New York,2013,19431954,Illinois,272066
North Carolina,2013,9737365,Illinois,275922
North Dakota,2013,714804,Illinois,38908
Ohio,2013,11439593,Illinois,185749
Oklahoma,2013,3801521,Illinois,109255
Oregon,2013,3888216,Illinois,143841
Pennsylvania,2013,12639493,Illinois,224280
Rhode Island,2013,1040986,Illinois,34108
South Carolina,2013,4720602,Illinois,166047
South Dakota,2013,832703,Illinois,30042
Tennessee,2013,6419226,Illinois,186525
Texas,2013,26087349,Illinois,548034
Utah,2013,2854667,Illinois,97869
Vermont,2013,621256,Illinois,23180
Virginia,2013,8163664,Illinois,266348
Washington,2013,6888552,Illinois,208215
West Virginia,2013,1837863,Illinois,51957
Wisconsin,2013,5681024,Illinois,100846
Wyoming,2013,575933,Illinois,27584
Puerto Rico,2013,3579220,Illinois,24652
Alabama,2014,4791931,Illinois,107919
Alaska,2014,725206,Illinois,37842
Arizona,2014,6651964,Illinois,249730
Arkansas,2014,2931123,Illinois,74741
California,2014,38340324,Illinois,513968
Colorado,2014,5293943,Illinois,218728
Connecticut,2014,3558915,Illinois,82746
Delaware,2014,924770,Illinois,32166
District of Columbia ,2014,648586,Illinois,56234
Florida,2014,19683763,Illinois,546501
Georgia,2014,9970167,Illinois,274095
Hawaii,2014,1401004,Illinois,58144
Idaho,2014,1613068,Illinois,64633
Illinois,2014,12730206,Illinois,209536
Indiana,2014,6516181,Illinois,139846
Iowa,2014,3067872,Illinois,79194
Kansas,2014,2866584,Illinois,96467
Kentucky,2014,4357819,Illinois,104975
Louisiana,2014,4593505,Illinois,97814
Maine,2014,1317638,Illinois,39065
Maryland,2014,5911235,Illinois,156787
Massachusetts,2014,6674907,Illinois,146622
Michigan,2014,9795659,Illinois,149991
Minnesota,2014,5385219,Illinois,106783
Mississippi,2014,2957658,Illinois,73927
Missouri,2014,5992195,Illinois,153320
Montana,2014,1012169,Illinois,37561
Nebraska,2014,1855356,Illinois,52200
Nevada,2014,2806170,Illinois,130390
New Hampshire,2014,1314735,Illinois,41393
New Jersey,2014,8840346,Illinois,128911
New Mexico,2014,2060189,Illinois,68917
New York,2014,19528220,Illinois,258571
North Carolina,2014,9832152,Illinois,286533
North Dakota,2014,729874,Illinois,39059
Ohio,2014,11464891,Illinois,196742
Oklahoma,2014,3827288,Illinois,111346
Oregon,2014,3927857,Illinois,137008
Pennsylvania,2014,12645888,Illinois,232889
Rhode Island,2014,1045791,Illinois,32621
South Carolina,2014,4780659,Illinois,171969
South Dakota,2014,842076,Illinois,28198
Tennessee,2014,6471445,Illinois,182130
Texas,2014,26588600,Illinois,538572
Utah,2014,2894001,Illinois,90234
Vermont,2014,620898,Illinois,22635
Virginia,2014,8224054,Illinois,262477
Washington,2014,6979369,Illinois,220259
West Virginia,2014,1831414,Illinois,47957
Wisconsin,2014,5692727,Illinois,117831
Wyoming,2014,577782,Illinois,25992
Puerto Rico,2014,3511186,Illinois,19771
Alabama,2015,4801599,Illinois,114876
Alaska,2015,727862,Illinois,34696
Arizona,2015,6747595,Illinois,253281
Arkansas,2015,2938341,Illinois,81594
California,2015,38675135,Illinois,514477
Colorado,2015,5393067,Illinois,227445
Connecticut,2015,3554844,Illinois,76997
Delaware,2015,935813,Illinois,44495
District of Columbia ,2015,663006,Illinois,59905
Florida,2015,20068392,Illinois,584938
Georgia,2015,10088525,Illinois,283325
Hawaii,2015,1414355,Illinois,53742
Idaho,2015,1635366,Illinois,73809
Illinois,2015,12706393,Illinois,209828
Indiana,2015,6540691,Illinois,147529
Iowa,2015,3081446,Illinois,85937
Kansas,2015,2875640,Illinois,91340
Kentucky,2015,4373403,Illinois,106918
Louisiana,2015,4612024,Illinois,93321
Maine,2015,1317444,Illinois,30123
Maryland,2015,5934005,Illinois,168894
Massachusetts,2015,6725678,Illinois,132642
Michigan,2015,9811416,Illinois,142639
Minnesota,2015,5419822,Illinois,108476
Mississippi,2015,2959289,Illinois,69351
Missouri,2015,6015580,Illinois,159152
Montana,2015,1019646,Illinois,42760
Nebraska,2015,1869217,Illinois,52950
Nevada,2015,2859489,Illinois,135999
New Hampshire,2015,1318121,Illinois,53446
New Jersey,2015,8854363,Illinois,144074
New Mexico,2015,2060441,Illinois,55753
New York,2015,19570171,Illinois,257611
North Carolina,2015,9927547,Illinois,310612
North Dakota,2015,745291,Illinois,42618
Ohio,2015,11482142,Illinois,203475
Oklahoma,2015,3864908,Illinois,110878
Oregon,2015,3985712,Illinois,141162
Pennsylvania,2015,12662192,Illinois,232683
Rhode Island,2015,1045062,Illinois,38344
South Carolina,2015,4839984,Illinois,170366
South Dakota,2015,848285,Illinois,26962
Tennessee,2015,6522259,Illinois,195923
Texas,2015,27092848,Illinois,553032
Utah,2015,2947423,Illinois,97361
Vermont,2015,619952,Illinois,21232
Virginia,2015,8283737,Illinois,277715
Washington,2015,7089143,Illinois,230907
West Virginia,2015,1823753,Illinois,42078
Wisconsin,2015,5708201,Illinois,106511
Wyoming,2015,579102,Illinois,35947
Puerto Rico,2015,3443445,Illinois,24762
Alabama,2016,4810126,Illinois,122220
Alaska,2016,731760,Illinois,31300
Arizona,2016,6851836,Illinois,273257
Arkansas,2016,2949650,Illinois,71083
California,2016,38783436,Illinois,514758
Colorado,2016,5476928,Illinois,223260
Connecticut,2016,3541758,Illinois,75586
Delaware,2016,942073,Illinois,33400
District of Columbia ,2016,672022,Illinois,58154
Florida,2016,20401575,Illinois,605018
Georgia,2016,10179860,Illinois,305040
Hawaii,2016,1410258,Illinois,57229
Idaho,2016,1663756,Illinois,71556
Illinois,2016,12654142,Illinois,203713
Indiana,2016,6554084,Illinois,145782
Iowa,2016,3097283,Illinois,78263
Kansas,2016,2870529,Illinois,88830
Kentucky,2016,4385213,Illinois,113238
Louisiana,2016,4622042,Illinois,85371
Maine,2016,1319292,Illinois,38590
Maryland,2016,5949566,Illinois,158647
Massachusetts,2016,6745441,Illinois,149408
Michigan,2016,9813772,Illinois,155874
Minnesota,2016,5455904,Illinois,111307
Mississippi,2016,2951081,Illinois,64639
Missouri,2016,6022165,Illinois,162809
Montana,2016,1032794,Illinois,37775
Nebraska,2016,1882987,Illinois,51448
Nevada,2016,2907243,Illinois,117899
New Hampshire,2016,1322101,Illinois,52457
New Jersey,2016,8852286,Illinois,144359
New Mexico,2016,2057857,Illinois,64802
New York,2016,19526443,Illinois,260723
North Carolina,2016,10032407,Illinois,330896
North Dakota,2016,746271,Illinois,29655
Ohio,2016,11481752,Illinois,195396
Oklahoma,2016,3873232,Illinois,102000
Oregon,2016,4052221,Illinois,139334
Pennsylvania,2016,12645493,Illinois,252060
Rhode Island,2016,1045691,Illinois,32800
South Carolina,2016,4903788,Illinois,165230
South Dakota,2016,853832,Illinois,31789
Tennessee,2016,6580953,Illinois,170867
Texas,2016,27472626,Illinois,531996
Utah,2016,3002244,Illinois,107083
Vermont,2016,619387,Illinois,21262
Virginia,2016,8312297,Illinois,264164
Washington,2016,7202119,Illinois,257728
West Virginia,2016,1810709,Illinois,47196
Wisconsin,2016,5712104,Illinois,118814
Wyoming,2016,577567,Illinois,26471
Puerto Rico,2016,3384760,Illinois,21196
Alabama,2017,4819343,Illinois,111803
Alaska,2017,730874,Illinois,30199
Arizona,2017,6935358,Illinois,261727
Arkansas,2017,2968395,Illinois,79411
California,2017,39085984,Illinois,523131
Colorado,2017,5542282,Illinois,226933
Connecticut,2017,3556297,Illinois,83325
Delaware,2017,952449,Illinois,38532
District of Columbia ,2017,684810,Illinois,56231
Florida,2017,20772371,Illinois,566476
Georgia,2017,10299497,Illinois,278889
Hawaii,2017,1410750,Illinois,46457
Idaho,2017,1694182,Illinois,71899
Illinois,2017,12659328,Illinois,195092
Indiana,2017,6591598,Illinois,142290
Iowa,2017,3106880,Illinois,77072
Kansas,2017,2876925,Illinois,86154
Kentucky,2017,4404279,Illinois,103985
Louisiana,2017,4629962,Illinois,72836
Maine,2017,1322591,Illinois,34252
Maryland,2017,5988007,Illinois,165654
Massachusetts,2017,6789798,Illinois,146299
Michigan,2017,9851330,Illinois,148787
Minnesota,2017,5510902,Illinois,115623
Mississippi,2017,2946971,Illinois,73549
Missouri,2017,6039877,Illinois,164957
Montana,2017,1039170,Illinois,35456
Nebraska,2017,1894217,Illinois,52507
Nevada,2017,2963456,Illinois,133074
New Hampshire,2017,1330742,Illinois,52893
New Jersey,2017,8910191,Illinois,152106
New Mexico,2017,2062628,Illinois,57255
New York,2017,19638923,Illinois,285252
North Carolina,2017,10158556,Illinois,313834
North Dakota,2017,744641,Illinois,37315
Ohio,2017,11520109,Illinois,198929
Oklahoma,2017,3875922,Illinois,101961
Oregon,2017,4102048,Illinois,149513
Pennsylvania,2017,12674642,Illinois,250120
Rhode Island,2017,1048549,Illinois,36850
South Carolina,2017,4966211,Illinois,166573
South Dakota,2017,856726,Illinois,26106
Tennessee,2017,6642072,Illinois,191909
Texas,2017,27924632,Illinois,524511
Utah,2017,3056193,Illinois,99584
Vermont,2017,619089,Illinois,21868
Virginia,2017,8372522,Illinois,250490
Washington,2017,7318811,Illinois,260787
West Virginia,2017,1798306,Illinois,40007
Wisconsin,2017,5731549,Illinois,112519
Wyoming,2017,573483,Illinois,18511
Puerto Rico,2017,3313519,Illinois,20167
Alabama,2018,4832358,Illinois,109301
Alaska,2018,727164,Illinois,32099
Arizona,2018,7090137,Illinois,273714
Arkansas,2018,2975961,Illinois,73179
California,2018,39114889,Illinois,501023
Colorado,2018,5633029,Illinois,239153
Connecticut,2018,3538203,Illinois,84718
Delaware,2018,958770,Illinois,34451
District of Columbia ,2018,693798,Illinois,47555
Florida,2018,21092877,Illinois,587261
Georgia,2018,10410462,Illinois,274273
Hawaii,2018,1403653,Illinois,54074
Idaho,2018,1734756,Illinois,79765
Illinois,2018,12599244,Illinois,206620
Indiana,2018,6612948,Illinois,145256
Iowa,2018,3119306,Illinois,74199
Kansas,2018,2874208,Illinois,95748
Kentucky,2018,4414714,Illinois,110456
Louisiana,2018,4603081,Illinois,81355
Maine,2018,1324095,Illinois,34706
Maryland,2018,5974521,Illinois,163216
Massachusetts,2018,6834364,Illinois,144042
Michigan,2018,9891083,Illinois,139276
Minnesota,2018,5543490,Illinois,100270
Mississippi,2018,2955717,Illinois,68000
Missouri,2018,6053109,Illinois,152326
Montana,2018,1051757,Illinois,43375
Nebraska,2018,1905843,Illinois,54579
Nevada,2018,3003761,Illinois,127362
New Hampshire,2018,1344750,Illinois,48367
New Jersey,2018,8815804,Illinois,159846
New Mexico,2018,2072546,Illinois,60068
New York,2018,19329704,Illinois,254447
North Carolina,2018,10274540,Illinois,318681
North Dakota,2018,749825,Illinois,33735
Ohio,2018,11555163,Illinois,198026
Oklahoma,2018,3895983,Illinois,106943
Oregon,2018,4152756,Illinois,140627
Pennsylvania,2018,12674699,Illinois,253520
Rhode Island,2018,1047975,Illinois,32841
South Carolina,2018,5029034,Illinois,186505
South Dakota,2018,871271,Illinois,26775
Tennessee,2018,6692936,Illinois,209377
Texas,2018,28333482,Illinois,563945
Utah,2018,3114717,Illinois,100824
Vermont,2018,621681,Illinois,26306
Virginia,2018,8424340,Illinois,274003
Washington,2018,7453439,Illinois,260906
West Virginia,2018,1787630,Illinois,43841
Wisconsin,2018,5751525,Illinois,114613
Wyoming,2018,570867,Illinois,25734
Puerto Rico,2018,3173956,Illinois,20900
Alabama,2019,4849509,Illinois,104780
Alaska,2019,722063,Illinois,34031
Arizona,2019,7200620,Illinois,253295
Arkansas,2019,2989054,Illinois,59723
California,2019,39084048,Illinois,480204
Colorado,2019,5701658,Illinois,240600
Connecticut,2019,3531986,Illinois,90044
Delaware,2019,964817,Illinois,38014
District of Columbia ,2019,697556,Illinois,58879
Florida,2019,21269409,Illinois,601611
Georgia,2019,10499808,Illinois,284541
Hawaii,2019,1396819,Illinois,49708
Idaho,2019,1764327,Illinois,78730
Illinois,2019,12536539,Illinois,190627
Indiana,2019,6656971,Illinois,151443
Iowa,2019,3121385,Illinois,72651
Kansas,2019,2879518,Illinois,94648
Kentucky,2019,4421512,Illinois,100057
Louisiana,2019,4595111,Illinois,67640
Maine,2019,1331656,Illinois,36129
Maryland,2019,5979602,Illinois,141766
Massachusetts,2019,6828110,Illinois,144079
Michigan,2019,9880758,Illinois,132008
Minnesota,2019,5575235,Illinois,106920
Mississippi,2019,2943737,Illinois,61683
Missouri,2019,6069697,Illinois,152345
Montana,2019,1056994,Illinois,40862
Nebraska,2019,1910711,Illinois,46064
Nevada,2019,3048602,Illinois,132950
New Hampshire,2019,1350155,Illinois,50288
New Jersey,2019,8791672,Illinois,149260
New Mexico,2019,2073628,Illinois,55545
New York,2019,19240920,Illinois,254806
North Carolina,2019,10371906,Illinois,315215
North Dakota,2019,750501,Illinois,36668
Ohio,2019,11556037,Illinois,205542
Oklahoma,2019,3907258,Illinois,101844
Oregon,2019,4178578,Illinois,129921
Pennsylvania,2019,12670245,Illinois,267465
Rhode Island,2019,1050602,Illinois,34984
South Carolina,2019,5092727,Illinois,176008
South Dakota,2019,872708,Illinois,26934
Tennessee,2019,6754461,Illinois,196765
Texas,2019,28642658,Illinois,559661
Utah,2019,3162102,Illinois,95608
Vermont,2019,617560,Illinois,21212
Virginia,2019,8439982,Illinois,264855
Washington,2019,7527366,Illinois,231956
West Virginia,2019,1773280,Illinois,39548
Wisconsin,2019,5760481,Illinois,107973
Wyoming,2019,572884,Illinois,30247
Puerto Rico,2019,3175835,Illinois,31144
Alabama,2010,4729509,Indiana,108723
Alaska,2010,702974,Indiana,36326
Arizona,2010,6332786,Indiana,222725
Arkansas,2010,2888304,Indiana,79127
California,2010,36907897,Indiana,444749
Colorado,2010,4988190,Indiana,186366
Connecticut,2010,3541146,Indiana,77333
Delaware,2010,889812,Indiana,30759
District of Columbia ,2010,596747,Indiana,51244
Florida,2010,18647600,Indiana,482889
Georgia,2010,9587237,Indiana,249459
Hawaii,2010,1346274,Indiana,53581
Idaho,2010,1550967,Indiana,55638
Illinois,2010,12680126,Indiana,203959
Indiana,2010,6414862,Indiana,127353
Iowa,2010,3013053,Indiana,72557
Kansas,2010,2820894,Indiana,95059
Kentucky,2010,4296639,Indiana,118443
Louisiana,2010,4483529,Indiana,97889
Maine,2010,1313902,Indiana,27758
Maryland,2010,5716785,Indiana,164484
Massachusetts,2010,6489250,Indiana,140162
Michigan,2010,9762127,Indiana,116149
Minnesota,2010,5244256,Indiana,89872
Mississippi,2010,2931228,Indiana,72321
Missouri,2010,5920858,Indiana,145226
Montana,2010,978507,Indiana,35630
Nebraska,2010,1802697,Indiana,51290
Nevada,2010,2667364,Indiana,102677
New Hampshire,2010,1303865,Indiana,39367
New Jersey,2010,8709933,Indiana,127369
New Mexico,2010,2039549,Indiana,73605
New York,2010,19171916,Indiana,269427
North Carolina,2010,9443000,Indiana,263256
North Dakota,2010,665654,Indiana,30100
Ohio,2010,11405101,Indiana,172633
Oklahoma,2010,3716264,Indiana,106511
Oregon,2010,3794008,Indiana,116700
Pennsylvania,2010,12577555,Indiana,235580
Rhode Island,2010,1042240,Indiana,32059
South Carolina,2010,4577399,Indiana,152441
South Dakota,2010,805616,Indiana,25777
Tennessee,2010,6282706,Indiana,159778
Texas,2010,24899075,Indiana,486558
Utah,2010,2724064,Indiana,77780
Vermont,2010,619363,Indiana,22529
Virginia,2010,7930773,Indiana,259507
Washington,2010,6661321,Indiana,191784
West Virginia,2010,1833535,Indiana,39609
Wisconsin,2010,5623196,Indiana,93065
Wyoming,2010,556954,Indiana,28046
Puerto Rico,2010,3676493,Indiana,31732
Alabama,2011,4745278,Indiana,117726
Alaska,2011,711962,Indiana,35084
Arizona,2011,6402301,Indiana,222877
Arkansas,2011,2906632,Indiana,69845
California,2011,37222678,Indiana,468428
Colorado,2011,5048443,Indiana,202124
Connecticut,2011,3548667,Indiana,71502
Delaware,2011,897187,Indiana,33912
District of Columbia ,2011,611608,Indiana,48066
Florida,2011,18863948,Indiana,498597
Georgia,2011,9699859,Indiana,271077
Hawaii,2011,1357806,Indiana,57542
Idaho,2011,1559637,Indiana,60336
Illinois,2011,12718402,Indiana,216204
Indiana,2011,6437155,Indiana,127874
Iowa,2011,3027718,Indiana,70405
Kansas,2011,2833584,Indiana,83640
Kentucky,2011,4316297,Indiana,110031
Louisiana,2011,4518629,Indiana,99138
Maine,2011,1315833,Indiana,33818
Maryland,2011,5759087,Indiana,153979
Massachusetts,2011,6515057,Indiana,139830
Michigan,2011,9766574,Indiana,139158
Minnesota,2011,5277329,Indiana,101029
Mississippi,2011,2943021,Indiana,68511
Missouri,2011,5937896,Indiana,149439
Montana,2011,987076,Indiana,33553
Nebraska,2011,1817126,Indiana,52070
Nevada,2011,2688336,Indiana,110345
New Hampshire,2011,1305678,Indiana,37000
New Jersey,2011,8719952,Indiana,140194
New Mexico,2011,2055293,Indiana,62130
New York,2011,19248685,Indiana,282209
North Carolina,2011,9539412,Indiana,265291
North Dakota,2011,675161,Indiana,32510
Ohio,2011,11418944,Indiana,191778
Oklahoma,2011,3742698,Indiana,108878
Oregon,2011,3828714,Indiana,127906
Pennsylvania,2011,12610486,Indiana,234291
Rhode Island,2011,1040022,Indiana,26769
South Carolina,2011,4624180,Indiana,157644
South Dakota,2011,814175,Indiana,27506
Tennessee,2011,6333466,Indiana,170969
Texas,2011,25327104,Indiana,514726
Utah,2011,2769627,Indiana,85217
Vermont,2011,621354,Indiana,20463
Virginia,2011,7996552,Indiana,257130
Washington,2011,6748474,Indiana,208507
West Virginia,2011,1836614,Indiana,50068
Wisconsin,2011,5647213,Indiana,109439
Wyoming,2011,561389,Indiana,30651
Puerto Rico,2011,3669195,Indiana,22649
Alabama,2012,4764428,Indiana,104600
Alaska,2012,721186,Indiana,33415
Arizona,2012,6468907,Indiana,232457
Arkansas,2012,2912680,Indiana,76948
California,2012,37572738,Indiana,493641
Colorado,2012,5123944,Indiana,205060
Connecticut,2012,3555319,Indiana,80311
Delaware,2012,906576,Indiana,34757
District of Columbia ,2012,624847,Indiana,53830
Florida,2012,19114620,Indiana,537148
Georgia,2012,9796547,Indiana,277466
Hawaii,2012,1374852,Indiana,55145
Idaho,2012,1573036,Indiana,59283
Illinois,2012,12725119,Indiana,208755
Indiana,2012,6457067,Indiana,134137
Iowa,2012,3035469,Indiana,75760
Kansas,2012,2848708,Indiana,88284
Kentucky,2012,4328626,Indiana,112787
Louisiana,2012,4545914,Indiana,91215
Maine,2012,1315586,Indiana,27523
Maryland,2012,5816472,Indiana,154983
Massachusetts,2012,6580641,Indiana,142577
Michigan,2012,9778980,Indiana,133981
Minnesota,2012,5315228,Indiana,101042
Mississippi,2012,2947696,Indiana,73500
Missouri,2012,5951913,Indiana,162930
Montana,2012,995544,Indiana,37690
Nebraska,2012,1829420,Indiana,43266
Nevada,2012,2725280,Indiana,124285
New Hampshire,2012,1309203,Indiana,50484
New Jersey,2012,8772744,Indiana,130223
New Mexico,2012,2060595,Indiana,54693
New York,2012,19352153,Indiana,270053
North Carolina,2012,9640490,Indiana,273149
North Dakota,2012,689838,Indiana,38213
Ohio,2012,11414635,Indiana,196391
Oklahoma,2012,3762311,Indiana,108972
Oregon,2012,3857465,Indiana,118925
Pennsylvania,2012,12630082,Indiana,215500
Rhode Island,2012,1040527,Indiana,33446
South Carolina,2012,4668886,Indiana,156705
South Dakota,2012,821669,Indiana,26051
Tennessee,2012,6378278,Indiana,177098
Texas,2012,25711791,Indiana,507752
Utah,2012,2805440,Indiana,87870
Vermont,2012,620224,Indiana,24431
Virginia,2012,8085389,Indiana,250653
Washington,2012,6815763,Indiana,215494
West Virginia,2012,1837518,Indiana,47125
Wisconsin,2012,5660677,Indiana,99192
Wyoming,2012,569734,Indiana,31149
Puerto Rico,2012,3628402,Indiana,20044
Alabama,2013,4781296,Indiana,104102
Alaska,2013,725193,Indiana,34360
Arizona,2013,6543362,Indiana,236146
Arkansas,2013,2923642,Indiana,70621
California,2013,37873189,Indiana,485477
Colorado,2013,5206012,Indiana,206543
Connecticut,2013,3562959,Indiana,88351
Delaware,2013,914025,Indiana,36790
District of Columbia ,2013,636535,Indiana,46571
Florida,2013,19345059,Indiana,529406
Georgia,2013,9870319,Indiana,278972
Hawaii,2013,1387361,Indiana,58083
Idaho,2013,1592596,Indiana,61592
Illinois,2013,12740816,Indiana,223605
Indiana,2013,6492306,Indiana,133508
Iowa,2013,3053635,Indiana,75650
Kansas,2013,2854869,Indiana,89735
Kentucky,2013,4345186,Indiana,103207
Louisiana,2013,4568320,Indiana,91889
Maine,2013,1315753,Indiana,36780
Maryland,2013,5857213,Indiana,161525
Massachusetts,2013,6619999,Indiana,135150
Michigan,2013,9784094,Indiana,144091
Minnesota,2013,5353441,Indiana,104825
Mississippi,2013,2957797,Indiana,68588
Missouri,2013,5973448,Indiana,159936
Montana,2013,1003013,Indiana,40035
Nebraska,2013,1842900,Indiana,45854
Nevada,2013,2757365,Indiana,126583
New Hampshire,2013,1310978,Indiana,44867
New Jersey,2013,8803679,Indiana,136907
New Mexico,2013,2059689,Indiana,56808
New York,2013,19431954,Indiana,272066
North Carolina,2013,9737365,Indiana,275922
North Dakota,2013,714804,Indiana,38908
Ohio,2013,11439593,Indiana,185749
Oklahoma,2013,3801521,Indiana,109255
Oregon,2013,3888216,Indiana,143841
Pennsylvania,2013,12639493,Indiana,224280
Rhode Island,2013,1040986,Indiana,34108
South Carolina,2013,4720602,Indiana,166047
South Dakota,2013,832703,Indiana,30042
Tennessee,2013,6419226,Indiana,186525
Texas,2013,26087349,Indiana,548034
Utah,2013,2854667,Indiana,97869
Vermont,2013,621256,Indiana,23180
Virginia,2013,8163664,Indiana,266348
Washington,2013,6888552,Indiana,208215
West Virginia,2013,1837863,Indiana,51957
Wisconsin,2013,5681024,Indiana,100846
Wyoming,2013,575933,Indiana,27584
Puerto Rico,2013,3579220,Indiana,24652
Alabama,2014,4791931,Indiana,107919
Alaska,2014,725206,Indiana,37842
Arizona,2014,6651964,Indiana,249730
Arkansas,2014,2931123,Indiana,74741
California,2014,38340324,Indiana,513968
Colorado,2014,5293943,Indiana,218728
Connecticut,2014,3558915,Indiana,82746
Delaware,2014,924770,Indiana,32166
District of Columbia ,2014,648586,Indiana,56234
Florida,2014,19683763,Indiana,546501
Georgia,2014,9970167,Indiana,274095
Hawaii,2014,1401004,Indiana,58144
Idaho,2014,1613068,Indiana,64633
Illinois,2014,12730206,Indiana,209536
Indiana,2014,6516181,Indiana,139846
Iowa,2014,3067872,Indiana,79194
Kansas,2014,2866584,Indiana,96467
Kentucky,2014,4357819,Indiana,104975
Louisiana,2014,4593505,Indiana,97814
Maine,2014,1317638,Indiana,39065
Maryland,2014,5911235,Indiana,156787
Massachusetts,2014,6674907,Indiana,146622
Michigan,2014,9795659,Indiana,149991
Minnesota,2014,5385219,Indiana,106783
Mississippi,2014,2957658,Indiana,73927
Missouri,2014,5992195,Indiana,153320
Montana,2014,1012169,Indiana,37561
Nebraska,2014,1855356,Indiana,52200
Nevada,2014,2806170,Indiana,130390
New Hampshire,2014,1314735,Indiana,41393
New Jersey,2014,8840346,Indiana,128911
New Mexico,2014,2060189,Indiana,68917
New York,2014,19528220,Indiana,258571
North Carolina,2014,9832152,Indiana,286533
North Dakota,2014,729874,Indiana,39059
Ohio,2014,11464891,Indiana,196742
Oklahoma,2014,3827288,Indiana,111346
Oregon,2014,3927857,Indiana,137008
Pennsylvania,2014,12645888,Indiana,232889
Rhode Island,2014,1045791,Indiana,32621
South Carolina,2014,4780659,Indiana,171969
South Dakota,2014,842076,Indiana,28198
Tennessee,2014,6471445,Indiana,182130
Texas,2014,26588600,Indiana,538572
Utah,2014,2894001,Indiana,90234
Vermont,2014,620898,Indiana,22635
Virginia,2014,8224054,Indiana,262477
Washington,2014,6979369,Indiana,220259
West Virginia,2014,1831414,Indiana,47957
Wisconsin,2014,5692727,Indiana,117831
Wyoming,2014,577782,Indiana,25992
Puerto Rico,2014,3511186,Indiana,19771
Alabama,2015,4801599,Indiana,114876
Alaska,2015,727862,Indiana,34696
Arizona,2015,6747595,Indiana,253281
Arkansas,2015,2938341,Indiana,81594
California,2015,38675135,Indiana,514477
Colorado,2015,5393067,Indiana,227445
Connecticut,2015,3554844,Indiana,76997
Delaware,2015,935813,Indiana,44495
District of Columbia ,2015,663006,Indiana,59905
Florida,2015,20068392,Indiana,584938
Georgia,2015,10088525,Indiana,283325
Hawaii,2015,1414355,Indiana,53742
Idaho,2015,1635366,Indiana,73809
Illinois,2015,12706393,Indiana,209828
Indiana,2015,6540691,Indiana,147529
Iowa,2015,3081446,Indiana,85937
Kansas,2015,2875640,Indiana,91340
Kentucky,2015,4373403,Indiana,106918
Louisiana,2015,4612024,Indiana,93321
Maine,2015,1317444,Indiana,30123
Maryland,2015,5934005,Indiana,168894
Massachusetts,2015,6725678,Indiana,132642
Michigan,2015,9811416,Indiana,142639
Minnesota,2015,5419822,Indiana,108476
Mississippi,2015,2959289,Indiana,69351
Missouri,2015,6015580,Indiana,159152
Montana,2015,1019646,Indiana,42760
Nebraska,2015,1869217,Indiana,52950
Nevada,2015,2859489,Indiana,135999
New Hampshire,2015,1318121,Indiana,53446
New Jersey,2015,8854363,Indiana,144074
New Mexico,2015,2060441,Indiana,55753
New York,2015,19570171,Indiana,257611
North Carolina,2015,9927547,Indiana,310612
North Dakota,2015,745291,Indiana,42618
Ohio,2015,11482142,Indiana,203475
Oklahoma,2015,3864908,Indiana,110878
Oregon,2015,3985712,Indiana,141162
Pennsylvania,2015,12662192,Indiana,232683
Rhode Island,2015,1045062,Indiana,38344
South Carolina,2015,4839984,Indiana,170366
South Dakota,2015,848285,Indiana,26962
Tennessee,2015,6522259,Indiana,195923
Texas,2015,27092848,Indiana,553032
Utah,2015,2947423,Indiana,97361
Vermont,2015,619952,Indiana,21232
Virginia,2015,8283737,Indiana,277715
Washington,2015,7089143,Indiana,230907
West Virginia,2015,1823753,Indiana,42078
Wisconsin,2015,5708201,Indiana,106511
Wyoming,2015,579102,Indiana,35947
Puerto Rico,2015,3443445,Indiana,24762
Alabama,2016,4810126,Indiana,122220
Alaska,2016,731760,Indiana,31300
Arizona,2016,6851836,Indiana,273257
Arkansas,2016,2949650,Indiana,71083
California,2016,38783436,Indiana,514758
Colorado,2016,5476928,Indiana,223260
Connecticut,2016,3541758,Indiana,75586
Delaware,2016,942073,Indiana,33400
District of Columbia ,2016,672022,Indiana,58154
Florida,2016,20401575,Indiana,605018
Georgia,2016,10179860,Indiana,305040
Hawaii,2016,1410258,Indiana,57229
Idaho,2016,1663756,Indiana,71556
Illinois,2016,12654142,Indiana,203713
Indiana,2016,6554084,Indiana,145782
Iowa,2016,3097283,Indiana,78263
