current_state,year,population,from,number_of_people,from_different_state_Total
Arizona,2010,6332786,New Mexico,4419,222725
Arizona,2010,6332786,New York,6618,222725
Arizona,2010,6332786,North Carolina,4463,222725
Arizona,2010,6332786,North Dakota,826,222725
Arizona,2010,6332786,Ohio,5225,222725
Arizona,2010,6332786,Oklahoma,2910,222725
Arizona,2010,6332786,Oregon,5430,222725
Arizona,2010,6332786,Pennsylvania,5535,222725
Arizona,2010,6332786,Rhode Island,403,222725
Arizona,2010,6332786,South Carolina,2310,222725
Arizona,2010,6332786,South Dakota,1351,222725
Arizona,2010,6332786,Tennessee,3061,222725
Arizona,2010,6332786,Texas,14705,222725
Arizona,2010,6332786,Utah,7164,222725
Arizona,2010,6332786,Vermont,664,222725
Arizona,2010,6332786,Virginia,3413,222725
Arizona,2010,6332786,Washington,12645,222725
Arizona,2010,6332786,West Virginia,595,222725
Arizona,2010,6332786,Wisconsin,5556,222725
Arizona,2010,6332786,Wyoming,593,222725
Arizona,2010,6332786,abroad_PuertoRico,599,222725
Arizona,2010,6332786,abroad_USIslandArea,223,222725
Arizona,2010,6332786,abroad_ForeignCountry,38246,222725
Arkansas,2010,2888304,Alabama,1405,79127
Arkansas,2010,2888304,Alaska,934,79127
Arkansas,2010,2888304,Arizona,777,79127
Arkansas,2010,2888304,Arkansas,0,79127
Arkansas,2010,2888304,California,4457,79127
Arkansas,2010,2888304,Colorado,2535,79127
Arkansas,2010,2888304,Connecticut,451,79127
Arkansas,2010,2888304,Delaware,0,79127
Arkansas,2010,2888304,District of Columbia ,154,79127
Arkansas,2010,2888304,Florida,3578,79127
Arkansas,2010,2888304,Georgia,3921,79127
Arkansas,2010,2888304,Hawaii,129,79127
Arkansas,2010,2888304,Idaho,618,79127
Arkansas,2010,2888304,Illinois,3221,79127
Arkansas,2010,2888304,Indiana,722,79127
Arkansas,2010,2888304,Iowa,85,79127
Arkansas,2010,2888304,Kansas,3611,79127
Arkansas,2010,2888304,Kentucky,2540,79127
Arkansas,2010,2888304,Louisiana,4012,79127
Arkansas,2010,2888304,Maine,0,79127
Arkansas,2010,2888304,Maryland,306,79127
Arkansas,2010,2888304,Massachusetts,190,79127
Arkansas,2010,2888304,Michigan,1506,79127
Arkansas,2010,2888304,Minnesota,222,79127
Arkansas,2010,2888304,Mississippi,2764,79127
Arkansas,2010,2888304,Missouri,7320,79127
Arkansas,2010,2888304,Montana,85,79127
Arkansas,2010,2888304,Nebraska,394,79127
Arkansas,2010,2888304,Nevada,67,79127
Arkansas,2010,2888304,New Hampshire,0,79127
Arkansas,2010,2888304,New Jersey,77,79127
Arkansas,2010,2888304,New Mexico,0,79127
Arkansas,2010,2888304,New York,289,79127
Arkansas,2010,2888304,North Carolina,1561,79127
Arkansas,2010,2888304,North Dakota,0,79127
Arkansas,2010,2888304,Ohio,1137,79127
Arkansas,2010,2888304,Oklahoma,8607,79127
Arkansas,2010,2888304,Oregon,239,79127
Arkansas,2010,2888304,Pennsylvania,731,79127
Arkansas,2010,2888304,Rhode Island,0,79127
Arkansas,2010,2888304,South Carolina,1496,79127
Arkansas,2010,2888304,South Dakota,243,79127
Arkansas,2010,2888304,Tennessee,2653,79127
Arkansas,2010,2888304,Texas,13707,79127
Arkansas,2010,2888304,Utah,361,79127
Arkansas,2010,2888304,Vermont,0,79127
Arkansas,2010,2888304,Virginia,494,79127
Arkansas,2010,2888304,Washington,264,79127
Arkansas,2010,2888304,West Virginia,0,79127
Arkansas,2010,2888304,Wisconsin,821,79127
Arkansas,2010,2888304,Wyoming,443,79127
Arkansas,2010,2888304,abroad_PuertoRico,87,79127
Arkansas,2010,2888304,abroad_USIslandArea,0,79127
Arkansas,2010,2888304,abroad_ForeignCountry,8287,79127
California,2010,36907897,Alabama,3364,444749
California,2010,36907897,Alaska,9579,444749
California,2010,36907897,Arizona,33854,444749
California,2010,36907897,Arkansas,4172,444749
California,2010,36907897,California,0,444749
California,2010,36907897,Colorado,15662,444749
California,2010,36907897,Connecticut,4631,444749
California,2010,36907897,Delaware,643,444749
California,2010,36907897,District of Columbia ,3683,444749
California,2010,36907897,Florida,20362,444749
California,2010,36907897,Georgia,8820,444749
California,2010,36907897,Hawaii,9528,444749
California,2010,36907897,Idaho,5719,444749
California,2010,36907897,Illinois,16482,444749
California,2010,36907897,Indiana,6550,444749
California,2010,36907897,Iowa,3163,444749
California,2010,36907897,Kansas,3857,444749
California,2010,36907897,Kentucky,3394,444749
California,2010,36907897,Louisiana,2989,444749
California,2010,36907897,Maine,1796,444749
California,2010,36907897,Maryland,10626,444749
California,2010,36907897,Massachusetts,11969,444749
California,2010,36907897,Michigan,10435,444749
California,2010,36907897,Minnesota,5095,444749
California,2010,36907897,Mississippi,2757,444749
California,2010,36907897,Missouri,6921,444749
California,2010,36907897,Montana,3009,444749
California,2010,36907897,Nebraska,3062,444749
California,2010,36907897,Nevada,27724,444749
California,2010,36907897,New Hampshire,1614,444749
California,2010,36907897,New Jersey,10108,444749
California,2010,36907897,New Mexico,4632,444749
California,2010,36907897,New York,20981,444749
California,2010,36907897,North Carolina,9593,444749
California,2010,36907897,North Dakota,392,444749
California,2010,36907897,Ohio,8170,444749
California,2010,36907897,Oklahoma,5708,444749
California,2010,36907897,Oregon,20913,444749
California,2010,36907897,Pennsylvania,9948,444749
California,2010,36907897,Rhode Island,526,444749
California,2010,36907897,South Carolina,5016,444749
California,2010,36907897,South Dakota,1604,444749
California,2010,36907897,Tennessee,4349,444749
California,2010,36907897,Texas,36582,444749
California,2010,36907897,Utah,10653,444749
California,2010,36907897,Vermont,525,444749
California,2010,36907897,Virginia,14232,444749
California,2010,36907897,Washington,30544,444749
California,2010,36907897,West Virginia,1446,444749
California,2010,36907897,Wisconsin,6031,444749
California,2010,36907897,Wyoming,1336,444749
California,2010,36907897,abroad_PuertoRico,1223,444749
California,2010,36907897,abroad_USIslandArea,5123,444749
California,2010,36907897,abroad_ForeignCountry,253294,444749
Colorado,2010,4988190,Alabama,954,186366
Colorado,2010,4988190,Alaska,2225,186366
Colorado,2010,4988190,Arizona,12287,186366
Colorado,2010,4988190,Arkansas,1034,186366
Colorado,2010,4988190,California,26089,186366
Colorado,2010,4988190,Colorado,0,186366
Colorado,2010,4988190,Connecticut,459,186366
Colorado,2010,4988190,Delaware,486,186366
Colorado,2010,4988190,District of Columbia ,479,186366
Colorado,2010,4988190,Florida,8849,186366
Colorado,2010,4988190,Georgia,6445,186366
Colorado,2010,4988190,Hawaii,2355,186366
Colorado,2010,4988190,Idaho,839,186366
Colorado,2010,4988190,Illinois,6950,186366
Colorado,2010,4988190,Indiana,3296,186366
Colorado,2010,4988190,Iowa,2140,186366
Colorado,2010,4988190,Kansas,4308,186366
Colorado,2010,4988190,Kentucky,1961,186366
Colorado,2010,4988190,Louisiana,968,186366
Colorado,2010,4988190,Maine,532,186366
Colorado,2010,4988190,Maryland,1532,186366
Colorado,2010,4988190,Massachusetts,2242,186366
Colorado,2010,4988190,Michigan,4587,186366
Colorado,2010,4988190,Minnesota,2878,186366
Colorado,2010,4988190,Mississippi,1277,186366
Colorado,2010,4988190,Missouri,1978,186366
Colorado,2010,4988190,Montana,2042,186366
Colorado,2010,4988190,Nebraska,4065,186366
Colorado,2010,4988190,Nevada,4131,186366
Colorado,2010,4988190,New Hampshire,791,186366
Colorado,2010,4988190,New Jersey,1259,186366
Colorado,2010,4988190,New Mexico,3921,186366
Colorado,2010,4988190,New York,4594,186366
Colorado,2010,4988190,North Carolina,2940,186366
Colorado,2010,4988190,North Dakota,802,186366
Colorado,2010,4988190,Ohio,2838,186366
Colorado,2010,4988190,Oklahoma,3464,186366
Colorado,2010,4988190,Oregon,4330,186366
Colorado,2010,4988190,Pennsylvania,3928,186366
Colorado,2010,4988190,Rhode Island,192,186366
Colorado,2010,4988190,South Carolina,1231,186366
Colorado,2010,4988190,South Dakota,1847,186366
Colorado,2010,4988190,Tennessee,1628,186366
Colorado,2010,4988190,Texas,22253,186366
Colorado,2010,4988190,Utah,4748,186366
Colorado,2010,4988190,Vermont,350,186366
Colorado,2010,4988190,Virginia,2739,186366
Colorado,2010,4988190,Washington,7583,186366
Colorado,2010,4988190,West Virginia,623,186366
Colorado,2010,4988190,Wisconsin,2499,186366
Colorado,2010,4988190,Wyoming,4418,186366
