state,year,median_sale_price,homes_sold
Arkansas,2016-04-01,118800,37
California,2022-03-01,812900,35313
Alaska,2021-05-01,405300,39
North Carolina,2021-05-01,241000,666
Mississippi,2016-02-01,136100,4
Michigan,2015-04-01,132800,8430
Hawaii,2017-08-01,645500,722
Columbia,2021-07-01,845000,390
Hawaii,2012-07-01,382400,933
Florida,2018-02-01,170200,6247
Kentucky,2014-11-01,142800,1894
New York,2015-02-01,138300,95
Nebraska,2015-07-01,161200,151
Illinois,2014-05-01,206900,2643
Arkansas,2021-04-01,220800,21
Kansas,2015-12-01,178700,1629
Columbia,2013-10-01,283000,15
Wisconsin,2020-12-01,229700,5572
Utah,2018-11-01,275000,451
Washington,2014-08-01,303000,437
Kansas,2015-12-01,180400,11
Hawaii,2017-09-01,419800,735
Florida,2016-12-01,221700,345
New Mexico,2013-03-01,302300,130
Colorado,2016-10-01,379300,5456
Colorado,2022-03-01,960600,48
Georgia,2013-10-01,113700,55
Nevada,2020-01-01,360100,32
Arizona,2018-12-01,266300,88
Delaware,2021-05-01,317800,614
Louisiana,2012-08-01,119200,72
Oklahoma,2018-06-01,90100,68
Texas,2018-06-01,193800,1168
Delaware,2017-10-01,239100,602
Arkansas,2015-01-01,132100,1253
South Carolina,2012-12-01,128100,428
Minnesota,2021-10-01,327600,6558
Missouri,2022-02-01,183500,320
Maine,2020-10-01,279200,2566
Colorado,2021-07-01,793600,75
Louisiana,2014-07-01,177600,112
Indiana,2015-03-01,134700,52
New Hampshire,2019-08-01,224800,263
Indiana,2018-08-01,141500,324
California,2021-10-01,766400,1829
Pennsylvania,2019-08-01,196100,3617
Vermont,2019-07-01,229100,77
Texas,2014-01-01,196900,433
Iowa,2017-03-01,169000,1
Kansas,2016-01-01,123600,52
Michigan,2014-03-01,51600,111
Texas,2016-08-01,228000,27029
Georgia,2014-05-01,201900,8504
New Jersey,2021-08-01,338900,1558
Arizona,2016-03-01,190300,67
Hawaii,2020-06-01,634500,3
Indiana,2012-09-01,130000,2827
Mississippi,2015-07-01,135400,34
Washington,2015-11-01,344200,363
Hawaii,2015-04-01,361500,624
Mississippi,2016-02-01,140100,23
Missouri,2012-04-01,103700,30
Virginia,2015-10-01,221600,39
Kentucky,2016-01-01,117300,30
New Jersey,2018-09-01,343900,647
Indiana,2014-09-01,121300,284
Iowa,2020-12-01,174000,12
Georgia,2012-07-01,114200,454
Columbia,2022-04-01,895000,389
Massachusetts,2020-06-01,458700,6915
Arkansas,2014-08-01,145000,1957
Utah,2014-02-01,226400,2209
Hawaii,2018-05-01,651600,687
Florida,2015-11-01,170700,280
Kansas,2021-02-01,253000,1388
South Dakota,2012-12-01,175700,30
West Virginia,2018-07-01,158300,47
Wisconsin,2019-07-01,215500,7065
Louisiana,2020-01-01,243300,92
Virginia,2013-08-01,243400,861
Nevada,2017-09-01,276600,4011
Maryland,2014-08-01,273000,6313
Vermont,2022-01-01,253000,35
Louisiana,2017-05-01,200400,2768
Virginia,2012-08-01,308700,1381
Florida,2019-10-01,180800,6566
Pennsylvania,2022-04-01,200300,361
Wisconsin,2017-09-01,177100,7264
Florida,2021-06-01,255900,12188
Washington,2013-02-01,260400,240
Maine,2014-07-01,173700,16
South Carolina,2013-03-01,109000,463
Delaware,2012-10-01,117500,110
Indiana,2014-07-01,119200,353
Maine,2015-07-01,159900,21
Hawaii,2019-04-01,534200,1386
Indiana,2014-05-01,117000,288
Colorado,2020-06-01,468100,6493
Washington,2020-07-01,534800,695
Iowa,2016-01-01,136700,93
Wisconsin,2015-11-01,160800,3822
New York,2015-09-01,224800,6848
Utah,2018-12-01,311700,3296
Florida,2020-04-01,289800,20426
New Mexico,2018-10-01,443000,225
Colorado,2013-03-01,272200,4951
Florida,2016-09-01,189000,2515
Missouri,2016-10-01,162500,4452
Texas,2016-04-01,223200,21122
Utah,2020-08-01,392700,5197
Maryland,2017-12-01,339900,3964
Georgia,2014-06-01,109000,38
Tennessee,2015-01-01,172500,3889
Vermont,2014-03-01,195900,416
Texas,2013-02-01,139600,159
Georgia,2018-12-01,235700,8517
South Dakota,2016-04-01,184800,397
Kentucky,2021-11-01,236600,3418
Nevada,2016-07-01,148000,239
Texas,2021-07-01,333200,33510
West Virginia,2015-10-01,172300,284
Arkansas,2016-03-01,82800,15
South Dakota,2014-07-01,140400,38
New Hampshire,2015-04-01,163600,137
Florida,2017-03-01,194200,2851
Indiana,2012-11-01,136400,33
Alabama,2018-05-01,180000,2
Indiana,2020-08-01,175100,349
Ohio,2014-12-01,119700,819
Nebraska,2013-01-01,151600,63
Pennsylvania,2016-10-01,186700,9893
Delaware,2018-12-01,257600,497
Pennsylvania,2019-09-01,237000,6811
Connecticut,2014-06-01,207700,2102
Kansas,2014-05-01,142300,21
Vermont,2012-06-01,165700,38
New Mexico,2013-11-01,339500,162
North Carolina,2020-03-01,271400,9403
New York,2017-11-01,418600,277
New York,2017-09-01,529800,961
Columbia,2015-11-01,540000,684
New Mexico,2021-08-01,504600,269
Tennessee,2017-01-01,183200,187
Ohio,2018-12-01,156700,8469
Hawaii,2013-03-01,345300,534
Minnesota,2015-01-01,164300,74
Nevada,2021-02-01,346600,4432
Delaware,2014-03-01,216100,343
South Carolina,2016-07-01,167900,297
Washington,2014-12-01,214000,649
Louisiana,2013-11-01,172000,1637
Louisiana,2018-08-01,206900,3136
Illinois,2020-05-01,209700,960
Delaware,2019-07-01,244500,991
Utah,2019-08-01,449300,44
Georgia,2012-12-01,134800,7502
Alaska,2012-09-01,259700,532
Texas,2018-10-01,241400,22648
Massachusetts,2012-10-01,285600,5565
Illinois,2018-07-01,227700,15375
Arkansas,2020-01-01,198200,40
Illinois,2018-04-01,227900,9472
Mississippi,2018-10-01,105000,21
Virginia,2014-12-01,318300,6227
Georgia,2015-11-01,166300,540
Kentucky,2013-01-01,127300,1717
New Hampshire,2012-05-01,192100,1534
Washington,2015-07-01,342100,8872
Florida,2017-08-01,233600,368
Alabama,2021-02-01,188500,10
Kentucky,2019-08-01,152700,295
Colorado,2017-06-01,397200,8642
Indiana,2017-12-01,161600,89
Iowa,2013-05-01,131300,165
Illinois,2012-11-01,118500,1904
Pennsylvania,2014-09-01,177800,9026
Connecticut,2013-12-01,206800,1251
Tennessee,2020-07-01,231000,402
Idaho,2018-03-01,203000,43
Arkansas,2018-10-01,164800,2246
Oklahoma,2022-02-01,161700,23
New Hampshire,2019-09-01,283300,2206
Kentucky,2013-11-01,140200,2276
West Virginia,2018-04-01,192500,296
Pennsylvania,2015-09-01,151700,2297
Indiana,2015-11-01,43000,42
Idaho,2018-09-01,283600,21
New Mexico,2017-08-01,271300,13
Mississippi,2019-11-01,180400,1015
Washington,2013-06-01,288800,8083
Maine,2015-01-01,116200,284
Pennsylvania,2016-02-01,200500,303
Georgia,2016-11-01,205900,9976
Oregon,2016-04-01,303700,113
Massachusetts,2021-05-01,532100,1705
Wisconsin,2013-07-01,141000,9
Hawaii,2014-01-01,561300,426
Maryland,2020-08-01,274700,2920
Georgia,2021-03-01,242800,949
Nevada,2012-11-01,140300,4185
Mississippi,2016-08-01,64900,5
Michigan,2017-06-01,173800,14135
Kentucky,2016-03-01,131800,34
Indiana,2014-10-01,143700,3747
Ohio,2015-02-01,93000,41
Maine,2021-03-01,293100,77
Colorado,2019-01-01,413300,245
Florida,2012-11-01,123600,1882
Tennessee,2022-02-01,301100,46
Illinois,2021-02-01,226800,945
Georgia,2018-05-01,208500,827
Idaho,2019-07-01,303200,2852
Tennessee,2016-12-01,179300,183
Alaska,2021-10-01,219400,122
Ohio,2021-10-01,214900,12867
Maryland,2016-05-01,219200,2508
Illinois,2021-10-01,334300,629
Michigan,2018-10-01,174000,1694
