state,year,median_sale_price,homes_sold
New Hampshire,2013-08-01,211300,2006
Pennsylvania,2013-02-01,94900,137
Kentucky,2013-04-01,108900,43
Delaware,2018-09-01,252400,573
South Dakota,2018-11-01,155900,8
Ohio,2016-01-01,130500,43
Maryland,2016-05-01,181300,626
Indiana,2019-02-01,165900,54
West Virginia,2013-10-01,139600,28
Hawaii,2017-12-01,847300,11
New Jersey,2022-01-01,362900,1107
Georgia,2014-03-01,177900,6682
New Hampshire,2019-01-01,245300,48
Illinois,2021-01-01,288800,412
Missouri,2018-07-01,119400,97
Colorado,2017-06-01,361400,491
Nebraska,2015-10-01,110800,18
New Hampshire,2017-09-01,250500,2266
Vermont,2015-04-01,213800,555
Oklahoma,2013-05-01,147500,3194
Utah,2021-11-01,498600,4103
Michigan,2021-02-01,200300,6540
Arkansas,2018-11-01,155600,47
Massachusetts,2019-08-01,436700,1456
Georgia,2016-02-01,175600,540
Georgia,2013-09-01,137400,607
Iowa,2014-10-01,157800,954
Nevada,2014-12-01,97600,331
Illinois,2016-05-01,191500,1334
Alabama,2012-01-01,204000,74
Ohio,2014-04-01,131500,68
Illinois,2013-05-01,173400,3021
Maryland,2017-03-01,327800,4181
Columbia,2018-02-01,532500,647
Wisconsin,2014-07-01,91700,38
Florida,2019-02-01,179300,5795
Alabama,2014-02-01,108800,53
Texas,2016-03-01,194800,215
Arizona,2012-06-01,150900,10046
Columbia,2014-04-01,375500,16
Nebraska,2021-05-01,204200,39
Wisconsin,2018-03-01,181900,5762
Massachusetts,2019-12-01,424000,4823
Oklahoma,2017-03-01,180200,23
Arizona,2014-08-01,144100,64
Columbia,2015-03-01,573700,270
Nebraska,2016-08-01,181800,126
Alaska,2021-10-01,348500,709
Mississippi,2022-05-01,257100,1691
Minnesota,2015-10-01,160600,293
Idaho,2013-07-01,129300,52
Delaware,2020-09-01,123500,30
Iowa,2018-02-01,148700,113
Vermont,2013-06-01,276600,13
Maryland,2021-03-01,352300,7886
Hawaii,2018-02-01,421800,571
Arizona,2017-09-01,256700,7893
Kansas,2015-02-01,86200,17
Alaska,2015-06-01,280800,840
Rhode Island,2016-01-01,159500,115
Alaska,2014-10-01,271300,586
Minnesota,2019-02-01,208800,516
South Dakota,2012-09-01,158000,3
Michigan,2017-08-01,160800,1759
Maryland,2017-10-01,85100,19
Vermont,2012-02-01,167900,15
Columbia,2014-03-01,273300,8
Massachusetts,2015-06-01,371100,9440
Nebraska,2020-02-01,204900,1016
Oregon,2015-07-01,250400,333
Virginia,2014-03-01,330400,1121
Washington,2016-09-01,347200,11387
California,2014-02-01,408800,16403
Nebraska,2013-11-01,127000,37
Nebraska,2019-01-01,145600,27
Virginia,2019-12-01,263800,891
Colorado,2019-11-01,409100,362
Hawaii,2016-11-01,601700,601
California,2022-01-01,724600,24406
Indiana,2014-07-01,69000,41
New Hampshire,2012-02-01,173700,667
Florida,2019-06-01,261700,37549
Indiana,2019-01-01,169600,2632
Oklahoma,2015-08-01,163600,26
Massachusetts,2019-01-01,419900,696
Delaware,2015-01-01,122300,31
Kansas,2017-03-01,106100,31
Oregon,2021-03-01,310400,350
Missouri,2020-04-01,171200,82
North Carolina,2019-06-01,255000,12636
Rhode Island,2018-08-01,252900,209
Kentucky,2017-01-01,116800,156
Vermont,2012-05-01,202200,547
Ohio,2019-10-01,164800,12856
Virginia,2020-01-01,342400,1184
Kansas,2017-05-01,212200,2465
Idaho,2020-06-01,320000,29
Vermont,2021-02-01,289800,55
New Hampshire,2021-08-01,385600,2527
Arkansas,2016-12-01,153600,2096
Delaware,2015-02-01,440000,3
Alaska,2020-10-01,312200,924
Kentucky,2017-04-01,169700,2618
Indiana,2017-03-01,159700,82
Arkansas,2019-07-01,144600,40
Idaho,2022-05-01,475400,79
Idaho,2015-11-01,159900,33
Virginia,2021-09-01,403800,9222
Mississippi,2015-09-01,181400,28
California,2019-12-01,820800,918
New Jersey,2019-02-01,336400,528
Colorado,2015-07-01,342500,6960
Mississippi,2018-07-01,175500,1494
Alaska,2017-04-01,214300,97
Nebraska,2018-06-01,186100,51
Connecticut,2015-07-01,204800,2542
Illinois,2018-04-01,233100,420
Hawaii,2018-12-01,530000,1234
New York,2012-05-01,203800,5102
Mississippi,2022-02-01,162000,17
Virginia,2021-04-01,254100,63
Louisiana,2014-08-01,179900,2379
Utah,2021-07-01,495400,4520
North Carolina,2021-08-01,328700,12279
Minnesota,2018-10-01,250800,5758
Maine,2018-05-01,230300,162
Louisiana,2016-04-01,242300,105
Delaware,2016-04-01,234000,507
Vermont,2012-05-01,230200,12
Nebraska,2016-11-01,174400,1279
Illinois,2017-09-01,210200,8939
Alabama,2014-12-01,127300,47
New Jersey,2015-01-01,196200,399
Delaware,2017-12-01,120500,40
Kentucky,2017-04-01,142100,34
Columbia,2014-01-01,438300,78
Virginia,2018-10-01,326800,6439
Tennessee,2012-05-01,131500,2200
Colorado,2020-10-01,559100,7008
Illinois,2022-03-01,325400,585
Wisconsin,2013-06-01,131800,2125
Texas,2018-12-01,246100,21892
Virginia,2015-12-01,323200,1600
North Carolina,2017-04-01,221100,9973
Delaware,2015-06-01,251200,628
Wisconsin,2019-06-01,200200,94
Minnesota,2021-11-01,200800,311
Nebraska,2013-12-01,115900,14
Arkansas,2016-05-01,149000,17
New Hampshire,2012-02-01,134800,30
Oregon,2012-01-01,221800,39
Maine,2022-02-01,321400,72
New Jersey,2021-11-01,413500,11149
New Mexico,2013-04-01,254000,6
Arizona,2020-07-01,362200,81
Florida,2019-08-01,225600,3004
Connecticut,2017-07-01,649000,3
Georgia,2021-12-01,308800,1162
Vermont,2018-07-01,239500,690
Michigan,2013-02-01,93000,697
Minnesota,2012-12-01,134500,578
Louisiana,2016-12-01,159500,141
Oklahoma,2014-11-01,149500,2481
Connecticut,2012-02-01,197000,692
South Carolina,2018-10-01,444200,16
Alabama,2021-12-01,218700,101
Arizona,2021-11-01,470800,83
Hawaii,2021-10-01,943100,8
California,2016-07-01,499300,33924
Idaho,2018-10-01,274600,62
New Hampshire,2017-12-01,210100,217
Idaho,2017-08-01,235400,2692
Massachusetts,2014-08-01,311300,670
Utah,2012-09-01,168200,33
Nevada,2014-10-01,195500,3872
Rhode Island,2017-08-01,201200,2
New Mexico,2019-05-01,409500,207
Texas,2021-08-01,294700,954
Kentucky,2016-02-01,126000,22
Massachusetts,2020-08-01,430500,882
Arizona,2021-01-01,340400,8853
Arizona,2012-06-01,117400,82
Texas,2019-11-01,251800,20246
Iowa,2019-02-01,156300,6
Hawaii,2015-08-01,486600,1230
Ohio,2021-05-01,144800,444
New Hampshire,2012-11-01,201000,1429
Minnesota,2018-01-01,267400,102
Delaware,2012-05-01,207800,454
Columbia,2021-08-01,501600,410
Texas,2021-06-01,339000,31875
West Virginia,2021-01-01,177000,44
Idaho,2019-06-01,254600,52
Nebraska,2019-05-01,216400,1732
Kansas,2015-04-01,177800,2078
New Mexico,2020-03-01,438000,188
Louisiana,2016-06-01,203900,2771
Idaho,2019-10-01,270400,66
Wisconsin,2018-07-01,199200,8032
Missouri,2013-09-01,86500,13
Vermont,2015-07-01,208000,816
North Carolina,2016-05-01,144500,355
Vermont,2015-10-01,211700,79
Arkansas,2021-11-01,185900,77
Hawaii,2016-11-01,550100,16
Texas,2014-02-01,157400,170
Minnesota,2013-11-01,182000,5299
New Hampshire,2017-07-01,208400,253
New Jersey,2018-12-01,302600,7041
Tennessee,2019-04-01,138500,55
Ohio,2012-06-01,127800,9233
Arizona,2020-11-01,258500,914
Massachusetts,2015-12-01,362600,1122
Alabama,2017-09-01,183400,128
Oklahoma,2017-06-01,85200,65
Columbia,2020-11-01,867500,14
Hawaii,2014-03-01,530900,498
Hawaii,2021-12-01,525300,817
Vermont,2021-04-01,312500,66
Vermont,2021-07-01,320400,1052
New Mexico,2017-06-01,319700,280
Utah,2017-12-01,244400,354
Hawaii,2015-08-01,333000,8
Missouri,2015-02-01,123900,213
Arizona,2015-03-01,215300,7946
California,2017-10-01,555000,25160
Kentucky,2018-10-01,178200,2762
Washington,2021-04-01,566400,11251
Indiana,2015-04-01,144800,4134
Arkansas,2018-07-01,133600,27
South Carolina,2013-04-01,165500,12
New Mexico,2016-02-01,175400,21
Texas,2018-03-01,242400,728
North Carolina,2014-05-01,205800,7076
Michigan,2017-07-01,105400,154
Ohio,2015-04-01,55900,248
Vermont,2016-03-01,152700,13
California,2016-02-01,399300,3477
Michigan,2021-01-01,196300,8091
Arizona,2015-11-01,129100,471
Louisiana,2021-08-01,245200,3966
Massachusetts,2021-01-01,479600,3656
Delaware,2020-05-01,105000,3
New Hampshire,2012-09-01,161800,94
Rhode Island,2016-09-01,195300,175
Pennsylvania,2012-12-01,135900,1700
Indiana,2018-09-01,182000,4179
Missouri,2015-11-01,147600,3215
Missouri,2022-03-01,230000,5291
Vermont,2013-04-01,168000,12
Washington,2015-10-01,248200,842
Georgia,2016-09-01,188800,43
Ohio,2014-06-01,49900,238
Utah,2017-03-01,298900,2862
Tennessee,2013-04-01,112600,103
South Carolina,2020-03-01,212800,372
Washington,2014-10-01,321600,429
Nevada,2016-12-01,150000,256
Florida,2020-02-01,227300,2343
Connecticut,2022-01-01,216600,733
Alaska,2014-04-01,257500,576
Kentucky,2019-09-01,201100,30
New Mexico,2014-12-01,280600,27
Washington,2018-09-01,407100,9445
Louisiana,2020-09-01,230600,3576
Nebraska,2021-08-01,184600,46
Washington,2016-12-01,263100,822
Vermont,2015-06-01,196800,53
North Carolina,2021-12-01,317100,1373
Nebraska,2019-05-01,198100,144
Tennessee,2018-03-01,238400,6494
Missouri,2016-05-01,117500,86
South Dakota,2016-08-01,191200,411
Iowa,2012-10-01,137700,118
New York,2020-07-01,363400,188
Arizona,2020-03-01,326700,67
Connecticut,2022-05-01,308400,362
Michigan,2012-05-01,102400,7940
Washington,2021-10-01,650000,196
Illinois,2022-01-01,250800,10243
Texas,2019-02-01,240600,19019
Mississippi,2017-02-01,157000,889
Louisiana,2016-08-01,194400,2377
Virginia,2012-01-01,279900,759
Virginia,2020-12-01,276500,1208
Iowa,2014-01-01,137400,65
Washington,2017-05-01,399500,9698
Connecticut,2018-10-01,179100,829
Arkansas,2015-12-01,142600,1839
Vermont,2015-03-01,193100,390
Indiana,2014-08-01,142100,72
New Hampshire,2019-04-01,253700,70
Washington,2012-08-01,280000,6076
New Hampshire,2015-09-01,240800,1642
Connecticut,2017-04-01,274300,2579
Maryland,2012-12-01,169700,462
Ohio,2012-02-01,37900,179
Kentucky,2020-02-01,183900,2371
Maine,2017-04-01,230000,1
Alaska,2016-06-01,288600,801
Hawaii,2021-04-01,645500,1892
Missouri,2020-06-01,174500,123
Louisiana,2018-07-01,180900,36
Wisconsin,2015-07-01,146000,2404
Utah,2022-02-01,450000,386
Louisiana,2015-04-01,188000,120
South Dakota,2013-03-01,93500,4
New Jersey,2015-10-01,185000,124
Alaska,2018-04-01,287400,412
South Carolina,2012-01-01,164300,1227
Iowa,2018-09-01,178100,150
Vermont,2018-06-01,238400,707
Tennessee,2018-10-01,232500,237
Iowa,2018-06-01,166900,224
Nebraska,2020-01-01,220100,78
Nebraska,2016-11-01,141300,12
Alabama,2015-09-01,217300,189
West Virginia,2017-05-01,143600,51
South Carolina,2015-04-01,128100,587
Minnesota,2020-09-01,209500,366
Michigan,2018-05-01,169400,1973
Columbia,2020-05-01,876100,97
South Carolina,2012-05-01,120100,549
Minnesota,2015-03-01,193400,5308
Kansas,2012-04-01,92900,9
Hawaii,2020-05-01,585600,778
Florida,2017-03-01,164900,8362
Massachusetts,2021-02-01,465600,443
Nevada,2019-02-01,154400,407
New Jersey,2012-03-01,228600,406
Connecticut,2016-10-01,150800,255
Colorado,2015-02-01,315500,4440
Iowa,2016-02-01,154700,94
New York,2019-08-01,402800,327
Pennsylvania,2016-06-01,122500,236
Vermont,2022-02-01,302000,356
Arizona,2021-11-01,312800,931
Connecticut,2021-10-01,362800,3621
Colorado,2020-04-01,469200,4053
Oregon,2014-06-01,259000,5108
Florida,2022-01-01,394000,21802
Columbia,2021-03-01,750000,23
Michigan,2014-08-01,132000,11636
Oklahoma,2018-07-01,127800,18
Mississippi,2016-09-01,150800,11
Arizona,2017-05-01,182200,1024
Washington,2020-02-01,560800,490
Florida,2012-10-01,111000,246
Illinois,2020-07-01,247600,17896
Wisconsin,2013-09-01,143300,104
Nevada,2021-06-01,386600,5945
Washington,2021-08-01,407000,1218
Indiana,2012-04-01,127000,2888
Arkansas,2019-08-01,183200,2697
Vermont,2018-08-01,225200,1026
Tennessee,2012-12-01,125100,1890
Nevada,2019-11-01,305200,3922
Maine,2018-06-01,248700,87
Mississippi,2013-05-01,136700,1038
Tennessee,2019-07-01,260800,8640
Utah,2019-03-01,320500,3564
Tennessee,2021-09-01,342300,7984
Massachusetts,2012-09-01,291500,5416
Louisiana,2018-12-01,219200,118
Kansas,2016-07-01,101600,35
Georgia,2017-07-01,219100,1004
Pennsylvania,2012-08-01,145300,1996
Tennessee,2016-06-01,179800,205
Connecticut,2017-12-01,277500,2739
Utah,2016-03-01,268800,2842
New Jersey,2014-09-01,208200,319
Colorado,2019-01-01,418000,4137
Maine,2019-02-01,216700,919
Vermont,2021-07-01,327500,807
Alabama,2014-09-01,164600,2316
Indiana,2014-06-01,142500,85
Texas,2016-09-01,222300,21953
Virginia,2015-12-01,296400,8486
New Jersey,2021-11-01,426200,8331
Idaho,2015-05-01,194300,1999
Utah,2020-06-01,364100,5076
Nevada,2021-03-01,353300,5848
Kentucky,2017-07-01,176700,3582
Oregon,2017-11-01,261000,283
Nebraska,2013-12-01,159300,31
South Dakota,2014-06-01,82100,6
Pennsylvania,2013-12-01,187600,421
Minnesota,2017-04-01,186600,941
South Dakota,2014-11-01,162800,260
Arkansas,2017-06-01,150700,28
Illinois,2012-01-01,130300,5853
Columbia,2020-12-01,639000,933
Florida,2021-11-01,355900,39563
Virginia,2018-01-01,306600,4552
Wisconsin,2021-02-01,230800,55
Indiana,2012-10-01,136000,58
New Hampshire,2013-07-01,233900,1529
California,2012-01-01,223400,3177
Columbia,2017-01-01,575000,223
Iowa,2022-02-01,231300,948
Louisiana,2018-09-01,204800,2622
Texas,2012-04-01,191300,500
Minnesota,2018-03-01,266200,93
South Dakota,2015-10-01,178000,418
Colorado,2014-08-01,250000,443
Connecticut,2022-05-01,240100,900
North Carolina,2013-09-01,191100,3522
Kentucky,2013-04-01,136200,2621
Oklahoma,2012-02-01,100200,14
South Dakota,2018-12-01,100000,4
Kansas,2022-02-01,160500,22
Oklahoma,2014-09-01,67500,75
Idaho,2017-12-01,242100,24
Columbia,2018-08-01,744500,18
Hawaii,2019-06-01,455800,655
Vermont,2013-02-01,198900,284
Maryland,2019-03-01,295000,6466
South Dakota,2021-08-01,275400,510
Alabama,2021-11-01,258900,14
Illinois,2014-02-01,126100,1482
Arizona,2019-02-01,263900,8006
Maryland,2013-09-01,170700,498
Massachusetts,2021-03-01,502100,5926
Hawaii,2018-04-01,430800,802
Virginia,2012-01-01,40000,7
Delaware,2015-05-01,115000,57
Massachusetts,2016-10-01,367300,4410
Nevada,2020-03-01,243000,384
New Mexico,2015-04-01,279600,215
Utah,2021-08-01,419800,682
Kentucky,2012-02-01,101700,128
Oklahoma,2020-12-01,80100,78
Oregon,2015-07-01,221100,406
New Jersey,2012-07-01,228000,425
New York,2018-09-01,568500,850
Delaware,2017-11-01,165500,172
Virginia,2014-08-01,337300,4927
Alaska,2020-05-01,296200,514
Minnesota,2015-02-01,158900,450
Mississippi,2012-11-01,76400,8
Indiana,2015-02-01,131100,2746
Florida,2013-01-01,138300,18839
Connecticut,2019-08-01,308100,3895
Oregon,2016-12-01,267200,240
Columbia,2017-10-01,700000,391
California,2018-07-01,648200,1448
Columbia,2019-05-01,450000,423
Illinois,2022-02-01,251900,9950
New Hampshire,2018-06-01,223200,305
Illinois,2014-11-01,168200,6668
Vermont,2020-10-01,294600,1045
Illinois,2012-03-01,126500,1679
Hawaii,2015-04-01,462700,1229
Minnesota,2019-01-01,243500,3622
South Carolina,2012-10-01,110100,458
Indiana,2016-01-01,38800,43
Pennsylvania,2018-01-01,135900,187
New Jersey,2016-07-01,291800,1298
New Jersey,2018-11-01,333800,630
Tennessee,2018-07-01,243000,8057
New York,2014-11-01,222000,5015
Oregon,2017-03-01,321300,4212
Washington,2022-04-01,446700,1029
New Hampshire,2013-09-01,165400,131
New Jersey,2021-07-01,498800,761
Iowa,2019-04-01,182500,6
Indiana,2018-11-01,163900,228
New Hampshire,2020-11-01,295300,138
California,2012-11-01,288200,4203
Massachusetts,2016-06-01,386700,10128
Minnesota,2019-01-01,257000,79
New Jersey,2017-12-01,281200,1225
Michigan,2012-04-01,89000,871
Nebraska,2015-10-01,157600,1550
Texas,2021-08-01,334300,30383
Alabama,2020-10-01,274500,238
Pennsylvania,2017-09-01,167600,2594
California,2022-04-01,675200,5107
New Jersey,2016-01-01,221400,97
Rhode Island,2021-04-01,373100,200
Georgia,2017-12-01,223800,11242
North Carolina,2021-09-01,288200,1316
Delaware,2015-05-01,134300,5
Hawaii,2013-08-01,470200,1236
Idaho,2019-02-01,221800,29
Kentucky,2018-12-01,148700,27
Idaho,2015-10-01,196500,1862
Georgia,2022-04-01,281700,807
South Carolina,2021-01-01,293000,3819
New York,2015-02-01,106500,240
Virginia,2014-09-01,248600,612
New Mexico,2013-07-01,206400,10
Georgia,2022-04-01,364400,13354
New Jersey,2012-04-01,259400,173
Columbia,2018-09-01,387100,249
Rhode Island,2013-11-01,150900,123
Alaska,2015-03-01,184800,91
Alaska,2012-03-01,249400,322
Kansas,2014-07-01,84000,18
Idaho,2015-06-01,160200,55
Arizona,2015-03-01,154900,773
Indiana,2012-11-01,125300,2994
Florida,2019-12-01,285700,24456
West Virginia,2012-02-01,121900,26
Louisiana,2015-10-01,184700,2468
Oregon,2013-02-01,211800,55
Texas,2015-12-01,182600,190
Wisconsin,2015-12-01,154700,5174
Columbia,2013-12-01,718000,105
South Carolina,2020-06-01,258800,6607
North Carolina,2019-10-01,178000,482
Wisconsin,2016-10-01,172700,5496
Minnesota,2017-02-01,207800,3638
Tennessee,2017-09-01,191900,242
Missouri,2019-11-01,180700,4954
Hawaii,2015-04-01,561000,586
Oklahoma,2022-03-01,191200,21
Maine,2014-03-01,130500,16
Georgia,2018-08-01,229800,13407
Florida,2014-03-01,187400,16988
Minnesota,2015-01-01,182400,3340
Columbia,2014-06-01,525000,890
Idaho,2013-04-01,155400,29
Rhode Island,2020-06-01,314900,1247
South Dakota,2021-05-01,280000,367
Alabama,2013-10-01,151500,2018
Mississippi,2021-10-01,233500,1407
New York,2014-10-01,207600,7516
Missouri,2012-03-01,70400,10
Illinois,2019-06-01,239700,15970
South Dakota,2014-03-01,89900,3
California,2019-04-01,486600,4765
Massachusetts,2013-07-01,305100,730
Connecticut,2015-02-01,108700,62
Ohio,2013-08-01,113900,1326
New Jersey,2014-03-01,188100,457
Illinois,2014-06-01,204100,10305
Pennsylvania,2018-05-01,178300,3247
Alaska,2021-04-01,326700,729
Massachusetts,2017-02-01,385100,299
Mississippi,2020-10-01,210700,1538
Florida,2012-06-01,108400,233
Iowa,2018-03-01,194500,958
Missouri,2016-01-01,102700,70
Indiana,2013-05-01,143700,88
South Carolina,2018-09-01,232200,4267
Idaho,2012-04-01,138400,1487
Tennessee,2019-08-01,241100,412
Vermont,2018-05-01,225200,757
Florida,2020-09-01,204400,7829
Alabama,2021-10-01,265900,3549
Iowa,2012-08-01,154100,1099
Maine,2012-08-01,132000,50
Arizona,2013-04-01,175500,10430
Mississippi,2019-12-01,122900,17
California,2015-10-01,403600,4666
Washington,2017-08-01,303700,1225
Oklahoma,2018-01-01,151100,2359
New Hampshire,2015-09-01,201000,65
Rhode Island,2017-04-01,242000,1139
West Virginia,2021-02-01,252300,283
Nebraska,2013-10-01,108200,41
South Dakota,2017-06-01,183000,62
Wisconsin,2019-12-01,199600,5445
Mississippi,2019-09-01,95500,22
New York,2014-08-01,253900,410
Idaho,2022-03-01,434300,85
Nevada,2018-02-01,291300,2910
Texas,2013-09-01,183300,18407
Minnesota,2014-10-01,163600,881
New Mexico,2020-09-01,359300,23
Rhode Island,2015-06-01,232500,1431
Arkansas,2013-02-01,123900,734
Columbia,2014-10-01,710000,125
North Carolina,2019-06-01,262900,27
West Virginia,2013-03-01,129500,14
Vermont,2015-11-01,200600,586
Mississippi,2019-12-01,187600,1121
South Dakota,2013-01-01,168400,22
Delaware,2022-04-01,160000,37
Kentucky,2012-06-01,113400,213
South Carolina,2015-08-01,162000,262
Delaware,2019-12-01,274900,558
New Jersey,2012-01-01,214800,272
Kansas,2017-06-01,103100,23
Maryland,2012-05-01,175500,464
Vermont,2019-12-01,246300,765
Tennessee,2014-04-01,171800,5269
Alaska,2021-08-01,220600,141
New Mexico,2020-01-01,307000,12
New Hampshire,2020-02-01,244900,139
Alaska,2020-05-01,184100,62
California,2020-01-01,554200,22713
Delaware,2022-04-01,242400,243
Ohio,2018-05-01,176600,107
Delaware,2018-03-01,160800,169
Missouri,2021-05-01,236000,159
Kentucky,2016-09-01,167000,2944
New Hampshire,2014-04-01,162100,147
Tennessee,2015-05-01,165000,52
Tennessee,2014-06-01,191900,6241
Alaska,2021-05-01,359000,610
Ohio,2015-04-01,114400,1087
Louisiana,2018-09-01,209500,2345
New Hampshire,2019-07-01,254500,89
Wisconsin,2017-03-01,123700,272
Utah,2014-07-01,180600,376
Louisiana,2018-10-01,227700,30
Columbia,2016-07-01,441500,334
Connecticut,2021-08-01,759500,4
Maryland,2015-07-01,60400,11
New Hampshire,2022-05-01,434500,1749
Ohio,2017-01-01,119400,706
Mississippi,2018-12-01,141000,22
Connecticut,2017-04-01,146600,210
Utah,2020-06-01,293900,716
New Jersey,2020-03-01,270300,569
Oregon,2014-10-01,202400,315
North Carolina,2013-11-01,195400,3136
Alabama,2015-07-01,133100,96
Connecticut,2014-12-01,140600,92
Missouri,2012-10-01,123700,53
Missouri,2020-03-01,149500,68
New York,2016-06-01,626300,2328
Utah,2020-07-01,392000,33
Columbia,2018-06-01,831000,20
Connecticut,2014-11-01,139400,213
Texas,2019-03-01,248800,24588
New York,2012-03-01,198200,3752
Michigan,2021-07-01,218200,1512
Indiana,2014-02-01,130500,30
South Carolina,2015-12-01,274500,14
Mississippi,2013-01-01,116900,649
Washington,2021-07-01,590900,13294
West Virginia,2022-04-01,234700,70
Rhode Island,2014-06-01,200200,165
Louisiana,2016-10-01,145800,44
Arkansas,2021-02-01,180300,37
Florida,2012-11-01,108700,5332
North Carolina,2012-11-01,195600,2233
Wisconsin,2021-05-01,250200,7154
Idaho,2019-12-01,342600,26
New Mexico,2015-08-01,215700,28
Alaska,2019-05-01,283800,717
Wisconsin,2020-05-01,223400,5322
North Carolina,2022-05-01,342100,66
Idaho,2014-06-01,154600,41
California,2020-11-01,514000,5132
Oklahoma,2012-02-01,127700,2180
Utah,2021-10-01,453400,429
Illinois,2017-01-01,188200,8353
Indiana,2016-07-01,166000,4596
Ohio,2014-02-01,44300,200
Kentucky,2021-08-01,232400,3880
Arkansas,2020-10-01,231500,40
Delaware,2019-04-01,164600,232
Colorado,2014-03-01,290900,4452
Minnesota,2012-05-01,128400,828
Hawaii,2019-10-01,647600,683
Arkansas,2019-07-01,183900,2809
Michigan,2012-05-01,106100,6838
Vermont,2019-02-01,224900,390
Kansas,2021-04-01,270400,2249
Arkansas,2017-09-01,135100,47
Arizona,2016-05-01,139700,743
Illinois,2014-09-01,171100,1065
Louisiana,2018-10-01,203400,2271
Colorado,2019-04-01,457300,5555
Georgia,2018-07-01,238600,13638
South Carolina,2015-04-01,168500,14
Columbia,2015-09-01,649000,265
Arkansas,2014-04-01,126100,1072
Illinois,2020-06-01,239200,10269
Texas,2019-01-01,227900,391
South Carolina,2015-01-01,182000,2618
Georgia,2014-06-01,146200,761
New Jersey,2018-10-01,333100,797
Delaware,2021-05-01,240000,9
California,2020-06-01,613500,24622
Arkansas,2020-01-01,173700,1802
Vermont,2020-06-01,257500,831
Alaska,2018-10-01,275100,713
Arkansas,2020-07-01,200000,3396
Georgia,2016-08-01,196700,1003
Colorado,2018-12-01,293600,721
Arizona,2013-10-01,110500,463
Connecticut,2017-11-01,267700,2837
Georgia,2018-04-01,235100,12579
Virginia,2015-06-01,332000,8804
Georgia,2018-08-01,235600,11565
Oklahoma,2015-12-01,72300,56
Columbia,2014-04-01,631500,94
Idaho,2019-08-01,375700,41
Massachusetts,2018-10-01,477100,606
Virginia,2017-08-01,208400,43
Delaware,2017-11-01,86000,47
Utah,2012-08-01,200700,3335
Kentucky,2020-12-01,173000,28
Wisconsin,2020-07-01,214000,85
California,2013-10-01,497400,1172
Texas,2018-02-01,243000,154
Idaho,2014-07-01,201400,30
Kentucky,2021-10-01,215700,44
Wisconsin,2016-11-01,169400,4765
Louisiana,2020-07-01,232000,4120
Nevada,2013-01-01,87600,176
Vermont,2017-03-01,213700,37
Wisconsin,2012-12-01,118200,1495
Massachusetts,2020-03-01,431000,581
Ohio,2021-03-01,127900,405
Columbia,2020-10-01,1082100,143
Arizona,2022-01-01,320400,776
Maryland,2017-03-01,203000,2314
Kentucky,2014-05-01,91300,21
Rhode Island,2018-11-01,271900,1321
Oregon,2020-12-01,411100,5874
Georgia,2017-09-01,183500,720
South Carolina,2012-09-01,163400,20
Iowa,2020-01-01,205000,738
Oregon,2014-03-01,269700,53
South Carolina,2014-04-01,123700,481
Florida,2015-04-01,213100,21762
Columbia,2015-03-01,621300,92
Tennessee,2020-06-01,282800,7791
Georgia,2022-01-01,304400,802
Nevada,2014-07-01,128500,272
Utah,2015-03-01,235100,49
California,2014-12-01,361800,4270
Nevada,2014-01-01,120000,176
Oklahoma,2021-07-01,218100,4728
Nevada,2021-11-01,305600,422
Florida,2019-04-01,187400,8598
New Hampshire,2018-12-01,194300,157
California,2017-10-01,543200,32652
Arkansas,2020-03-01,185900,2422
North Carolina,2012-06-01,197100,3187
Columbia,2021-10-01,1177800,102
Pennsylvania,2020-06-01,233300,312
South Carolina,2020-04-01,268300,3988
Colorado,2016-03-01,504100,55
Texas,2020-01-01,247200,16279
Mississippi,2020-04-01,197100,1094
Minnesota,2016-04-01,213600,6918
Louisiana,2014-09-01,178400,2184
Rhode Island,2018-01-01,264400,611
West Virginia,2018-02-01,189300,239
Louisiana,2020-05-01,174900,113
Wisconsin,2015-05-01,148700,8
Michigan,2022-01-01,209400,8079
California,2019-04-01,631300,1383
Missouri,2018-08-01,131000,95
Colorado,2017-01-01,321600,259
Maryland,2020-03-01,202100,581
Oklahoma,2016-07-01,159600,3673
Virginia,2017-09-01,301000,9627
Rhode Island,2012-07-01,208900,792
South Carolina,2017-05-01,222200,5708
Utah,2020-05-01,268100,313
Illinois,2020-12-01,211300,2232
Utah,2021-01-01,442800,1951
California,2012-09-01,283100,4116
Rhode Island,2020-03-01,296300,1098
Louisiana,2022-05-01,184600,66
South Dakota,2021-10-01,171300,15
Rhode Island,2019-07-01,293100,1596
Florida,2014-05-01,153600,2320
South Dakota,2017-07-01,197300,39
Nebraska,2013-02-01,138100,57
Utah,2015-02-01,199800,263
Pennsylvania,2021-05-01,239400,3664
Nevada,2014-02-01,91900,326
New York,2021-01-01,468400,291
Virginia,2021-03-01,397100,8239
North Carolina,2019-04-01,172300,278
Virginia,2014-08-01,264800,694
Utah,2017-10-01,249300,490
New Hampshire,2018-06-01,292900,2065
Wisconsin,2018-06-01,148900,365
New Jersey,2016-05-01,257700,507
Pennsylvania,2013-10-01,181300,459
Kentucky,2020-12-01,147500,77
Arkansas,2014-11-01,115100,23
North Carolina,2016-07-01,215200,10791
Columbia,2013-05-01,365000,21
Tennessee,2016-10-01,211700,6117
Maine,2020-08-01,273900,207
