year,state,median_sale_price,homes_sold
2012-08-01,Colorado,310400,34
2015-03-01,Georgia,130000,38
2012-07-01,New Jersey,274100,3353
2016-09-01,Illinois,189600,1265
2015-05-01,Massachusetts,347400,4198
2018-10-01,New Jersey,314400,1201
2020-06-01,Maine,242500,2
2016-03-01,Oklahoma,146800,3372
2020-08-01,Alabama,235500,4120
2015-07-01,Illinois,211000,11193
2012-10-01,Pennsylvania,169600,7157
2020-01-01,Massachusetts,432700,5128
2015-12-01,New Mexico,306500,188
2013-09-01,South Carolina,101200,13
2020-09-01,Nebraska,228900,1768
2012-05-01,Connecticut,201700,1592
2020-04-01,North Carolina,196600,19
2021-04-01,Colorado,976000,59
2020-09-01,Missouri,173000,124
2019-07-01,Virginia,233000,59
2016-12-01,Tennessee,215400,5920
2015-01-01,Idaho,131900,20
2021-03-01,Michigan,211100,9698
2021-05-01,Indiana,131700,101
2019-05-01,Iowa,173500,229
2013-09-01,Michigan,134700,7421
2021-12-01,Vermont,340200,76
2020-01-01,Rhode Island,233300,125
2016-11-01,Louisiana,147600,26
2020-08-01,Mississippi,209200,1519
2021-12-01,Columbia,900000,117
2017-03-01,Maine,189800,1145
2020-04-01,Wisconsin,220000,79
2017-06-01,Virginia,188800,52
2015-11-01,Kentucky,152800,1979
2016-02-01,California,454800,22226
2017-03-01,Indiana,129600,291
2020-12-01,Maryland,183300,44
2017-04-01,Maine,167500,58
2013-12-01,North Carolina,167700,374
2020-06-01,New York,580200,1643
2021-10-01,Delaware,150000,50
2017-09-01,Virginia,311300,6765
2013-11-01,Connecticut,208400,1197
2017-11-01,South Dakota,189100,343
2021-02-01,Pennsylvania,174200,282
2016-01-01,Georgia,167500,610
2015-03-01,Illinois,179100,7563
2013-07-01,Kansas,173300,2340
2018-10-01,Maine,216100,1718
2020-12-01,Texas,288700,28820
2018-12-01,New Mexico,258600,14
2015-09-01,Maine,67300,6
2012-01-01,Tennessee,111100,1207
2012-06-01,Kansas,86500,11
2017-12-01,Columbia,835000,129
2020-08-01,Wisconsin,206200,795
2017-10-01,Illinois,221500,472
2017-05-01,Georgia,224900,14002
2019-02-01,Kentucky,156100,36
2013-06-01,Florida,138300,2114
2014-02-01,New Jersey,203700,329
2013-12-01,Kentucky,189400,25
2019-12-01,Columbia,715000,329
2020-11-01,Alabama,225800,13
2019-04-01,Minnesota,260800,5812
2021-05-01,Minnesota,333200,142
2015-03-01,Oregon,290400,88
2017-05-01,Nevada,248900,5568
2012-12-01,Arkansas,136100,555
2013-08-01,Alabama,124700,82
2012-05-01,Ohio,132900,50
2012-06-01,Virginia,341500,5098
2021-05-01,Washington,616000,9502
2019-08-01,Maryland,198400,656
2013-04-01,New Hampshire,163200,107
2014-05-01,Nevada,201600,3740
2019-01-01,Colorado,548400,45
2019-06-01,Florida,274900,392
2017-04-01,Alabama,18200,2
2021-10-01,Oklahoma,192900,45
2021-10-01,Rhode Island,391700,1442
2017-10-01,Illinois,202600,8478
2017-10-01,Minnesota,228300,160
2018-12-01,Delaware,163800,178
2014-05-01,Washington,294700,99
2018-07-01,Missouri,121400,81
2017-09-01,Connecticut,179200,253
2018-06-01,Nevada,286500,5341
2014-02-01,Arizona,131200,569
2017-12-01,Alabama,273200,158
2019-10-01,Vermont,248700,971
2021-05-01,Utah,464300,41
2012-05-01,Kentucky,145000,2183
2013-01-01,New Hampshire,153500,43
2015-07-01,New Jersey,269200,6581
2017-03-01,Minnesota,186300,823
2022-05-01,Florida,325600,9849
2021-10-01,New Mexico,347100,49
2016-10-01,New York,611300,2078
2019-11-01,Oregon,273800,253
2013-12-01,Mississippi,93400,7
2016-08-01,Iowa,138100,194
2016-03-01,North Carolina,172100,609
2013-02-01,Virginia,292300,3007
2021-03-01,Arizona,359000,12606
2015-05-01,Vermont,253500,7
2016-01-01,Nebraska,149800,24
2013-02-01,Kansas,118300,42
2017-06-01,Delaware,104900,53
2022-04-01,Mississippi,170800,12
2018-07-01,South Carolina,245300,4634
2013-07-01,Delaware,207900,794
2022-02-01,Texas,345900,23293
2012-02-01,Iowa,116500,573
2021-10-01,Oklahoma,109800,80
2017-02-01,Louisiana,180100,100
2019-04-01,California,584500,32324
2020-07-01,Columbia,640000,1000
2019-04-01,Texas,194400,976
2022-04-01,Oklahoma,241300,4140
2020-07-01,California,624900,1636
2016-12-01,South Dakota,181500,282
2017-05-01,Columbia,490000,21
2012-05-01,Georgia,91200,877
2021-06-01,South Dakota,206000,11
2022-01-01,Ohio,212000,93
2020-08-01,Idaho,356200,3213
2012-08-01,Louisiana,137800,20
2014-12-01,Arkansas,140500,1593
2012-10-01,California,354800,28834
2013-07-01,New Mexico,361100,215
2014-03-01,Oregon,215700,222
2022-01-01,Missouri,209000,104
2012-04-01,Ohio,112300,7492
2018-08-01,Iowa,183800,8
2014-11-01,Colorado,509600,43
2012-08-01,Missouri,90300,19
2017-05-01,New York,695900,2538
2015-02-01,Kentucky,141000,1572
2015-12-01,New York,219400,384
2014-11-01,Maryland,176000,401
2016-10-01,Utah,218400,442
2020-07-01,Massachusetts,534500,457
2018-06-01,Michigan,189000,16389
2017-08-01,Pennsylvania,176900,3088
2020-01-01,Washington,543900,421
2016-04-01,Ohio,141100,10526
2019-01-01,Hawaii,372000,2
2013-07-01,Rhode Island,142200,131
2018-05-01,Oklahoma,139500,33
2018-09-01,Texas,193300,810
2021-02-01,Tennessee,244000,309
2015-05-01,Louisiana,195700,2520
2017-10-01,New Jersey,288000,1264
2013-05-01,Kansas,82700,26
2020-06-01,South Carolina,276100,5354
2012-06-01,Mississippi,85800,10
2021-11-01,South Carolina,311600,6309
2014-03-01,Missouri,93600,41
2017-12-01,New Hampshire,230600,88
2018-01-01,Minnesota,161400,168
2018-05-01,Texas,254000,29170
2013-08-01,Nevada,154400,49
2018-04-01,Oklahoma,97700,34
2022-05-01,Hawaii,793300,9
2013-03-01,Oregon,213500,144
2014-03-01,Arizona,204600,6836
2021-09-01,Pennsylvania,235900,553
2015-08-01,Arkansas,134600,26
2020-02-01,Kansas,154700,44
2018-06-01,New York,545300,992
2022-02-01,New Hampshire,302100,147
2019-07-01,New Jersey,307400,1311
2014-06-01,New Hampshire,202900,52
2018-04-01,Minnesota,208800,962
2018-04-01,North Carolina,234600,10805
2012-02-01,Nebraska,126600,655
2016-04-01,New Mexico,253500,13
2012-07-01,Washington,277500,5604
2019-03-01,Minnesota,269700,3819
2012-11-01,Vermont,237400,39
2018-07-01,Kansas,148400,21
2013-06-01,Columbia,873100,116
2015-09-01,Maryland,258700,6598
2017-10-01,Connecticut,173200,758
2016-01-01,North Carolina,166400,22
2012-10-01,Ohio,141300,44
2014-02-01,Florida,157700,234
2019-09-01,Pennsylvania,190000,3156
2013-09-01,Delaware,114200,36
2015-12-01,Minnesota,176700,148
2021-07-01,Nebraska,256800,1985
2013-04-01,California,387300,33013
2020-11-01,Mississippi,138800,4
2022-05-01,North Carolina,368300,13382
2018-02-01,Hawaii,870200,10
2013-06-01,Hawaii,320300,462
2013-06-01,Indiana,147700,4352
2016-08-01,Idaho,218000,2294
2012-03-01,Florida,97900,6487
2012-08-01,New Jersey,275200,213
2019-06-01,South Carolina,249500,6160
2020-04-01,California,646200,962
2013-12-01,Hawaii,336500,538
2012-05-01,New Mexico,469000,11
2018-06-01,Florida,244800,389
2019-01-01,Maine,252400,71
2014-07-01,Georgia,110200,57
2020-02-01,New Jersey,307600,808
2020-10-01,Louisiana,240400,3468
2013-11-01,Colorado,215000,262
2018-01-01,North Carolina,157000,186
2021-06-01,Delaware,255400,18
2013-09-01,Utah,204100,284
2018-12-01,Indiana,176700,65
2017-11-01,Missouri,140600,87
2017-12-01,Ohio,147000,9153
2020-02-01,Massachusetts,421300,4046
2012-02-01,Illinois,126200,6337
2016-03-01,New Mexico,346800,149
2020-05-01,Arkansas,186300,2610
2013-09-01,Tennessee,47800,15
2018-06-01,Illinois,212200,1635
2021-08-01,Vermont,277600,78
2019-12-01,Arizona,304000,8047
2016-01-01,Arkansas,135600,12
2018-07-01,Nevada,286600,5077
2015-07-01,New Hampshire,202700,309
2014-02-01,Tennessee,145600,108
2015-06-01,Minnesota,172300,368
2017-08-01,Pennsylvania,221900,735
2012-07-01,Virginia,137200,10
2020-07-01,Idaho,350700,3351
2014-01-01,Georgia,156300,483
2014-02-01,Georgia,166700,5358
2012-02-01,Nebraska,127500,728
2020-08-01,Kansas,179500,17
2019-10-01,West Virginia,194000,452
2013-09-01,Hawaii,414300,19
2018-11-01,Minnesota,209200,890
2016-11-01,Iowa,153800,146
2019-08-01,Missouri,146400,74
2014-04-01,Georgia,183300,7492
2019-12-01,Hawaii,572700,1291
2017-02-01,Alabama,235600,165
2021-05-01,Nebraska,253700,1656
2018-02-01,Nebraska,178600,1002
2020-05-01,Arkansas,156000,41
2014-12-01,South Carolina,199900,2908
2015-09-01,Ohio,135500,10589
2020-11-01,Connecticut,249900,347
2017-02-01,Virginia,179300,35
2021-11-01,Oklahoma,226600,4135
2017-07-01,Delaware,258900,716
2018-05-01,Arkansas,170600,2859
2019-02-01,Illinois,202200,5408
2012-05-01,Ohio,33300,229
2012-07-01,California,361000,1053
2014-02-01,Massachusetts,305900,631
2020-04-01,Iowa,158000,9
2013-12-01,Wisconsin,126200,1518
2019-12-01,Kentucky,132200,185
2014-03-01,Colorado,314900,53
2013-07-01,Michigan,135700,9534
2015-03-01,Minnesota,164700,690
2016-07-01,Idaho,212500,2360
2018-05-01,New Hampshire,226900,280
2014-04-01,Nebraska,144200,1415
2021-09-01,Wisconsin,203800,479
2016-12-01,Arizona,237700,7505
2012-04-01,Texas,127400,608
2017-06-01,Texas,234900,751
2014-03-01,Alaska,199200,77
2015-05-01,Indiana,158700,70
2015-02-01,Nevada,93000,327
2019-08-01,Maine,236100,200
2015-10-01,Mississippi,73800,8
2016-09-01,Massachusetts,365600,7675
2013-01-01,Massachusetts,286600,2696
2015-04-01,Colorado,198400,906
2017-08-01,Alaska,177100,112
2012-12-01,Mississippi,86300,3
2016-07-01,Hawaii,506800,1267
2012-04-01,Columbia,370500,234
2019-10-01,New Hampshire,219000,205
2019-11-01,South Carolina,255400,3770
2017-10-01,South Carolina,179700,242
2021-06-01,Kentucky,213700,62
2015-05-01,New Mexico,210800,9
2018-05-01,Vermont,226300,67
2018-06-01,Idaho,230300,63
2018-05-01,Massachusetts,434000,4348
2015-12-01,Louisiana,169300,131
2022-05-01,Iowa,265900,1510
2020-06-01,Florida,279900,275
2013-06-01,Louisiana,185600,2188
2012-10-01,Minnesota,143200,772
2014-04-01,Kansas,163100,1866
2016-12-01,Georgia,179200,618
2014-08-01,Delaware,230600,520
2017-12-01,Florida,235000,339
2019-10-01,Columbia,469000,352
2012-11-01,South Dakota,98500,7
2019-10-01,Alaska,179100,103
2013-05-01,Utah,184300,303
2021-07-01,Hawaii,840600,786
2016-12-01,Tennessee,172400,243
2020-05-01,South Carolina,151400,422
2017-03-01,New Hampshire,212000,63
2014-01-01,Columbia,359000,13
2015-09-01,Kentucky,151300,3040
2017-04-01,Iowa,178900,1298
2020-08-01,Pennsylvania,169200,293
2018-11-01,Arkansas,154400,21
2018-05-01,Delaware,196400,208
2015-06-01,Tennessee,120700,29
2020-06-01,New Mexico,280500,39
2021-06-01,Mississippi,227400,1593
2020-06-01,Minnesota,233600,1138
2018-04-01,Florida,215300,2817
2020-12-01,Delaware,140000,45
2021-05-01,Pennsylvania,195100,344
2015-06-01,North Carolina,121700,368
2015-11-01,North Carolina,124300,229
2020-10-01,Arkansas,161000,67
2014-02-01,North Carolina,158400,263
2012-08-01,South Carolina,137500,135
2016-05-01,Wisconsin,173000,6494
2014-08-01,New Mexico,328600,158
2020-12-01,Colorado,489900,7631
2015-10-01,Nebraska,142500,35
2020-03-01,Missouri,188900,5195
2014-09-01,New York,245700,459
2020-11-01,Tennessee,296200,6709
2021-08-01,Maryland,304100,3323
2017-12-01,Texas,241100,23473
2012-03-01,New Mexico,270000,4
2020-11-01,Vermont,233400,106
2016-04-01,Hawaii,496900,1307
2013-04-01,New Mexico,313900,117
2021-07-01,Rhode Island,401400,1080
2021-03-01,Iowa,244900,1114
2018-01-01,Idaho,217600,34
2013-05-01,Michigan,122200,8894
2021-07-01,California,939100,1179
2022-04-01,Florida,486800,521
2017-12-01,South Carolina,242500,3891
2012-03-01,Columbia,325000,17
2013-06-01,Oregon,270600,84
2017-12-01,Missouri,116400,75
2014-10-01,Texas,192000,21213
2014-02-01,Virginia,235600,428
2019-04-01,Florida,274300,26831
2015-10-01,New Hampshire,224600,2068
2013-11-01,Alaska,271700,431
2021-06-01,California,593300,6318
2013-08-01,Rhode Island,211900,1241
2013-09-01,Illinois,140800,470
2018-09-01,Texas,243600,20716
2015-07-01,Alaska,273600,808
2016-06-01,Connecticut,189100,943
2012-02-01,South Carolina,94900,9
2019-05-01,Mississippi,182800,30
2019-08-01,Colorado,449900,6269
2021-12-01,Connecticut,590000,4
2012-05-01,Hawaii,297400,435
2016-12-01,California,632100,1073
2019-06-01,Arizona,209100,951
2021-05-01,Utah,427200,434
2016-07-01,New Hampshire,192900,234
2015-07-01,West Virginia,179900,342
2015-11-01,Delaware,155400,129
2018-12-01,Oregon,308100,159
2021-05-01,Pennsylvania,262900,11644
2016-11-01,Oklahoma,77700,53
2016-11-01,Kansas,195900,1655
2018-02-01,Columbia,471400,8
2016-09-01,Washington,331600,137
2017-07-01,Missouri,142900,442
2019-05-01,Kansas,232900,2745
2020-08-01,South Carolina,294800,5265
2013-10-01,Maine,150900,18
2013-11-01,New Mexico,407700,23
2016-08-01,Columbia,639000,16
2012-11-01,Illinois,157300,6470
2017-12-01,Iowa,188000,967
2019-05-01,Washington,458000,9570
2015-02-01,Kentucky,117200,179
2019-02-01,New York,599500,761
2012-09-01,Arkansas,131600,805
2018-05-01,Illinois,232200,3176
2016-04-01,Arkansas,156400,2130
2021-10-01,Massachusetts,451400,1271
2013-02-01,Colorado,374500,48
2013-05-01,Missouri,159100,50
2017-01-01,South Carolina,219300,2559
2015-09-01,South Carolina,128600,537
2021-04-01,Nevada,393500,4489
2012-01-01,New Jersey,247400,1567
2020-11-01,Rhode Island,340100,1112
2021-11-01,New Jersey,322300,726
2015-01-01,Massachusetts,331000,633
2012-06-01,Alabama,167100,436
2018-02-01,Alaska,269900,377
2021-10-01,Illinois,244600,1479
2016-11-01,New York,283500,7928
2016-11-01,Connecticut,168700,220
2012-09-01,Washington,276100,4995
2013-08-01,Texas,142400,1064
2018-12-01,New York,438500,236
2018-02-01,Kentucky,169500,2193
2014-11-01,Arizona,206700,5322
2021-07-01,Massachusetts,555700,9236
2014-12-01,Minnesota,195800,3808
2015-11-01,Colorado,293000,337
2019-07-01,Tennessee,234600,398
2021-11-01,Georgia,311100,66
2017-02-01,Arkansas,146300,19
2021-07-01,Delaware,345300,798
2013-10-01,Wisconsin,67300,40
2017-03-01,Michigan,96100,158
2019-01-01,Michigan,112600,144
2013-12-01,New Jersey,244500,4216
2018-06-01,Maryland,180600,15
2018-03-01,California,587600,24082
2019-06-01,New Mexico,344500,25
2018-06-01,Hawaii,1100000,3
2012-02-01,Washington,143600,426
2016-05-01,Alaska,345700,36
2017-06-01,Maryland,197700,21
2018-04-01,West Virginia,182100,340
2014-04-01,Utah,219700,3147
2020-11-01,Louisiana,240500,2861
2012-11-01,Washington,249600,288
2015-05-01,Illinois,182700,1270
2014-07-01,Oklahoma,155500,3650
2013-11-01,Wisconsin,125100,1701
2017-01-01,Hawaii,526600,1055
2020-02-01,Maine,220000,973
2012-02-01,Texas,127100,487
2019-12-01,Indiana,188400,53
2016-03-01,Texas,161300,972
2018-12-01,Arkansas,159000,30
2019-10-01,Alabama,277100,190
2012-09-01,Pennsylvania,139900,1654
2016-01-01,Arkansas,143400,1343
2021-05-01,Michigan,214400,1514
2012-07-01,Delaware,122400,121
2017-09-01,Arkansas,124400,18
2015-05-01,New Hampshire,239200,1423
2019-08-01,Rhode Island,300700,1095
2019-09-01,Columbia,937500,8
2012-08-01,Michigan,101000,1071
2013-07-01,Delaware,239600,562
2020-07-01,Arizona,238000,1005
2019-03-01,South Dakota,207200,226
2019-03-01,Florida,250800,376
2021-12-01,Rhode Island,391100,1551
2018-12-01,Illinois,200900,842
2017-10-01,Vermont,188500,23
2012-10-01,Texas,163900,16018
2018-05-01,South Dakota,208900,447
2020-03-01,Massachusetts,483700,962
2020-06-01,Nebraska,160600,16
2013-09-01,Utah,220600,33
2019-03-01,Rhode Island,274300,766
2020-11-01,Michigan,131700,164
2018-03-01,Tennessee,213100,306
2021-02-01,California,670700,26640
2020-01-01,Columbia,714500,14
2016-08-01,Kansas,94200,37
2012-04-01,Colorado,171800,635
2017-08-01,Indiana,132200,333
2021-11-01,New Mexico,460500,318
2018-01-01,Colorado,280500,688
2018-07-01,Washington,337400,1087
2014-02-01,Kansas,78600,18
2014-08-01,New Jersey,226500,389
2014-04-01,Iowa,132900,148
2022-03-01,Delaware,224700,273
2022-04-01,Oregon,518400,5648
2021-06-01,Nevada,437900,59
2014-10-01,Florida,136100,6477
2021-04-01,Connecticut,269200,356
2020-09-01,New Jersey,321300,1548
2014-02-01,New Hampshire,168500,89
2016-06-01,Wisconsin,183000,7922
2018-12-01,New Jersey,208400,627
2015-12-01,New York,225400,6347
2020-03-01,Arkansas,193700,52
2021-08-01,New Jersey,310200,795
2015-12-01,Oklahoma,87600,41
2017-08-01,Alabama,187600,3713
2020-11-01,Georgia,241100,61
2022-02-01,South Carolina,274900,317
2016-03-01,Nebraska,164300,1245
2019-04-01,New Mexico,348700,237
2014-05-01,Maine,132600,426
2013-07-01,Louisiana,104600,124
2018-03-01,Idaho,257600,2096
2018-05-01,South Dakota,118000,6
2020-01-01,Arizona,306100,84
2021-03-01,Minnesota,261200,808
2020-08-01,New York,394200,12104
2018-09-01,New Jersey,311300,7535
2016-07-01,Maryland,188100,649
2019-07-01,Mississippi,222000,7
2020-06-01,Oklahoma,153100,30
2021-03-01,Arizona,236200,1057
2018-04-01,Alabama,269300,262
2013-02-01,Illinois,101000,317
2018-04-01,South Carolina,229100,5189
2020-05-01,Louisiana,218100,2483
2016-07-01,Florida,214600,33169
2014-11-01,Vermont,233300,41
2016-11-01,Colorado,248700,934
2021-02-01,Washington,361300,841
2014-06-01,Kansas,85600,28
2021-10-01,New York,402700,10410
2013-02-01,Texas,184000,444
2013-04-01,Virginia,138700,28
2014-02-01,Rhode Island,193100,591
2013-07-01,Colorado,421900,63
2020-06-01,Pennsylvania,258800,5335
2012-04-01,New Hampshire,191700,966
2012-06-01,South Carolina,182400,2258
2021-04-01,Colorado,382300,1262
2017-05-01,Kentucky,118200,30
2017-03-01,West Virginia,149000,32
2012-04-01,Maryland,180600,1318
2013-07-01,Georgia,134500,676
2013-05-01,Alabama,131700,76
2014-05-01,Virginia,202100,19
2021-09-01,Oklahoma,213000,53
2021-05-01,North Carolina,283800,1202
2015-01-01,Louisiana,141700,99
2016-08-01,Idaho,170300,57
2017-10-01,Massachusetts,399100,4525
2022-04-01,New Jersey,343800,576
2018-03-01,Arkansas,163800,2253
2015-05-01,Connecticut,137100,86
2016-10-01,Texas,198200,213
2020-04-01,Florida,271600,27877
2021-12-01,Massachusetts,485200,1418
2018-06-01,Delaware,119300,67
2017-02-01,Idaho,205700,31
2014-09-01,Utah,202300,290
2020-12-01,Missouri,195400,135
2012-07-01,South Dakota,155100,341
2016-06-01,Hawaii,1050000,1
2016-05-01,Delaware,241500,581
2020-11-01,Wisconsin,221400,77
2019-06-01,Alaska,203000,97
2019-11-01,Wisconsin,199500,6094
2022-02-01,Utah,589500,2020
2014-05-01,Kansas,173200,2327
2017-08-01,Florida,203000,2917
2019-02-01,Maryland,335600,2798
2016-08-01,Delaware,218300,819
2020-02-01,Texas,243100,530
2021-11-01,Kansas,265700,2224
2017-09-01,Wisconsin,182900,6084
2020-09-01,Nevada,363200,4355
2019-06-01,Columbia,724900,380
2015-09-01,California,465300,32737
2014-08-01,Vermont,210500,678
2014-05-01,New Mexico,275800,176
2017-03-01,Nebraska,180800,95
2015-08-01,South Dakota,180100,349
2018-03-01,South Carolina,150700,670
2013-06-01,Oklahoma,131100,16
2014-12-01,Arizona,211100,6561
2016-05-01,Michigan,15900,1
2022-05-01,Idaho,576800,43
2015-06-01,Oklahoma,161700,4028
2014-08-01,Colorado,285600,7570
2020-09-01,Idaho,367300,3058
2020-06-01,New Jersey,352400,7507
2016-11-01,South Carolina,144600,431
2014-01-01,Mississippi,117100,18
2020-04-01,Nebraska,207200,93
2014-06-01,Vermont,205700,508
2015-02-01,Virginia,286700,4074
2018-08-01,Massachusetts,434700,6197
2019-02-01,Utah,351000,2132
2014-08-01,Texas,192300,661
2021-10-01,Washington,575800,12052
2019-03-01,North Carolina,247300,9167
2017-02-01,Hawaii,495600,1004
2018-07-01,Mississippi,168600,2
2021-01-01,New Jersey,384600,9734
2019-08-01,Louisiana,216700,2707
2017-03-01,Iowa,145900,164
2014-05-01,Minnesota,194000,6786
2015-04-01,Texas,180200,169
2013-07-01,Georgia,174300,9977
2019-12-01,Idaho,471900,49
2015-12-01,Minnesota,198900,5498
2012-07-01,Ohio,126100,8644
2017-11-01,Iowa,188200,1133
2020-10-01,New Hampshire,278300,323
2014-05-01,North Carolina,197400,7866
2017-11-01,Maine,208800,1742
2014-01-01,Washington,281200,3888
2013-07-01,Nevada,112500,230
2012-09-01,Nebraska,140600,1234
2015-04-01,Kansas,184500,1939
2012-01-01,Utah,184600,1417
2021-07-01,Indiana,192300,333
2015-02-01,Utah,233000,2600
2014-08-01,Kentucky,169200,17
2019-03-01,Arizona,280000,8669
2018-02-01,Maryland,270600,4969
2016-11-01,California,527700,1289
2013-06-01,Oklahoma,150900,3160
2015-05-01,New York,232100,179
2017-07-01,Wisconsin,172200,108
2014-05-01,South Carolina,195800,3218
2012-01-01,Mississippi,70900,9
2015-09-01,Pennsylvania,117100,208
2016-05-01,Oregon,273300,248
2016-06-01,Alabama,228000,225
2019-02-01,New York,324000,5365
2013-11-01,South Carolina,144500,131
2019-12-01,New Hampshire,256100,92
2014-11-01,North Carolina,186900,5896
2015-02-01,Ohio,48100,210
2022-03-01,Kentucky,185200,216
2014-09-01,Mississippi,105500,2
2020-07-01,Kansas,193100,17
2018-12-01,New Mexico,390000,18
2015-07-01,Texas,189500,231
2020-09-01,Minnesota,246000,1271
2013-11-01,Oregon,276500,81
2021-07-01,South Dakota,174200,12
2019-11-01,Minnesota,258600,6438
2017-06-01,Nebraska,155700,23
2017-10-01,Pennsylvania,196600,10496
2017-11-01,Florida,239900,303
2020-01-01,Texas,209100,475
2018-01-01,Tennessee,218000,4876
2012-07-01,Kentucky,146400,2219
2012-02-01,Hawaii,374200,733
2019-06-01,Pennsylvania,264600,8511
2013-11-01,North Carolina,183300,3651
2019-10-01,Kansas,221700,2064
2021-10-01,South Dakota,262200,493
2017-04-01,New York,282100,6465
2013-08-01,New Jersey,225300,408
2015-11-01,Iowa,156100,115
2014-10-01,Indiana,146200,73
2021-04-01,Nevada,189800,799
2021-08-01,Indiana,242100,5992
2019-07-01,Missouri,199900,5863
2018-06-01,Hawaii,608800,17
2015-04-01,Louisiana,183700,32
2014-07-01,California,462300,25752
2019-04-01,Massachusetts,415500,6213
2022-04-01,Washington,674800,166
2021-04-01,Washington,395100,1122
2015-08-01,Tennessee,164800,188
2012-06-01,Florida,141200,24729
2018-04-01,Maryland,191100,655
2012-06-01,Texas,173100,21114
2017-07-01,Hawaii,593800,684
2015-06-01,South Carolina,136500,606
2021-09-01,Georgia,308300,1260
2021-11-01,Nebraska,246200,1607
2014-07-01,Ohio,59700,222
2014-04-01,New York,204700,4210
2014-06-01,Kentucky,135000,42
2014-06-01,Alaska,270200,731
2014-03-01,Maryland,315100,2628
2013-12-01,North Carolina,80100,13
2021-06-01,Connecticut,430300,4622
2018-08-01,Maryland,222000,14
2014-12-01,Delaware,109300,39
2012-08-01,Utah,212100,2723
2018-05-01,Oregon,277700,364
2016-12-01,Massachusetts,425600,539
2017-07-01,Illinois,232200,2843
2013-08-01,Pennsylvania,152200,2286
2019-11-01,Oregon,366800,4648
2018-01-01,Kentucky,131700,156
2018-07-01,South Dakota,217500,413
2013-06-01,Connecticut,115700,85
2014-08-01,California,547000,1019
2015-11-01,Arkansas,122300,19
2014-10-01,New Mexico,260500,19
2017-04-01,California,432200,4972
2013-01-01,Tennessee,114900,1653
2020-08-01,Oklahoma,204000,4736
2018-11-01,Georgia,234400,8836
2019-04-01,Wisconsin,183700,560
2017-06-01,South Dakota,155900,11
2014-02-01,Pennsylvania,160600,5081
2015-10-01,Idaho,143900,51
2018-10-01,Colorado,392100,401
2021-12-01,California,769500,1603
2016-04-01,Louisiana,192200,2594
2013-02-01,Ohio,140300,28
2017-09-01,Oregon,305000,241
2018-01-01,Utah,253800,266
2013-06-01,Arkansas,129100,11
2018-11-01,Massachusetts,421400,1197
2013-01-01,New Mexico,272100,134
2022-05-01,Missouri,195500,470
2020-10-01,Louisiana,193200,162
2019-03-01,Pennsylvania,188600,2911
2013-09-01,New Jersey,252800,4539
2022-03-01,New Jersey,422700,9317
2016-09-01,South Carolina,223200,4067
2015-08-01,Washington,262200,1041
2019-08-01,Texas,242000,786
2020-03-01,Connecticut,289500,2596
2020-05-01,Washington,460400,6554
2021-11-01,Connecticut,331500,4801
2017-06-01,New Jersey,326300,10396
2017-01-01,Minnesota,207100,3885
2014-07-01,Idaho,183700,1936
2020-12-01,New York,576000,1245
2015-03-01,California,495000,1339
2018-07-01,Michigan,126600,218
2021-02-01,Kentucky,179200,55
2015-09-01,Arizona,212200,8679
2012-01-01,California,321700,857
2019-01-01,Vermont,165600,48
2021-01-01,Ohio,196800,74
2015-03-01,Connecticut,136500,88
2012-02-01,Washington,238800,3558
2017-08-01,New York,690800,3095
2018-06-01,Vermont,241600,103
2021-06-01,South Carolina,191600,1126
2016-03-01,Minnesota,178300,754
2014-10-01,Nebraska,150200,1437
2017-12-01,Illinois,221700,433
2021-12-01,Kentucky,248600,47
2016-09-01,Massachusetts,358900,5154
2013-03-01,Iowa,148200,726
2019-04-01,Rhode Island,240000,184
2015-12-01,Colorado,479000,56
2018-06-01,Hawaii,442300,780
2022-02-01,Virginia,297500,927
2013-03-01,Maine,133600,260
2019-04-01,Louisiana,209400,2890
2016-10-01,Oklahoma,143000,21
2013-08-01,Oklahoma,120400,24
2020-11-01,Alaska,315000,710
2015-08-01,Arkansas,120200,32
2015-10-01,Delaware,211100,747
2013-09-01,Arizona,110800,511
2019-11-01,Arkansas,133400,25
2015-07-01,Alabama,55000,1
2018-01-01,Ohio,129300,755
2016-12-01,Maryland,156100,9
2015-01-01,Alaska,189200,63
2015-07-01,Minnesota,166000,399
2012-03-01,Pennsylvania,129300,1707
2017-08-01,West Virginia,181000,414
2021-08-01,Massachusetts,619400,654
2015-02-01,Ohio,110700,7150
2017-01-01,Hawaii,412000,535
2013-11-01,Iowa,148800,912
2017-10-01,Wisconsin,138600,346
2018-04-01,Utah,307400,3888
2022-01-01,Louisiana,246200,2726
2013-06-01,Indiana,144700,4769
2017-11-01,Nebraska,177600,1372
2017-12-01,Nevada,142600,441
2014-12-01,Florida,203200,19722
2020-09-01,Alaska,302100,889
2017-06-01,Kansas,114500,37
2013-09-01,Rhode Island,142700,123
2012-04-01,Washington,163900,627
2012-03-01,Oregon,153900,123
2015-11-01,South Carolina,146600,373
2015-02-01,Massachusetts,317600,295
2016-07-01,Colorado,353900,7697
2012-01-01,Kansas,129000,990
2018-06-01,New Hampshire,237400,94
2015-08-01,Wisconsin,142200,2467
2018-12-01,Ohio,89700,339
2020-08-01,Columbia,825000,365
2012-11-01,Ohio,114900,7500
2013-09-01,West Virginia,137600,31
2020-03-01,Virginia,269300,1010
