year,state,median_sale_price,homes_sold
2016-04-01,Arkansas,118800,37
2022-03-01,California,812900,35313
2021-05-01,Alaska,405300,39
2021-05-01,North Carolina,241000,666
2016-02-01,Mississippi,136100,4
2015-04-01,Michigan,132800,8430
2017-08-01,Hawaii,645500,722
2021-07-01,Columbia,845000,390
2012-07-01,Hawaii,382400,933
2018-02-01,Florida,170200,6247
2014-11-01,Kentucky,142800,1894
2015-02-01,New York,138300,95
2015-07-01,Nebraska,161200,151
2014-05-01,Illinois,206900,2643
2021-04-01,Arkansas,220800,21
2015-12-01,Kansas,178700,1629
2013-10-01,Columbia,283000,15
2020-12-01,Wisconsin,229700,5572
2018-11-01,Utah,275000,451
2014-08-01,Washington,303000,437
2015-12-01,Kansas,180400,11
2017-09-01,Hawaii,419800,735
2016-12-01,Florida,221700,345
2013-03-01,New Mexico,302300,130
2016-10-01,Colorado,379300,5456
2022-03-01,Colorado,960600,48
2013-10-01,Georgia,113700,55
2020-01-01,Nevada,360100,32
2018-12-01,Arizona,266300,88
2021-05-01,Delaware,317800,614
2012-08-01,Louisiana,119200,72
2018-06-01,Oklahoma,90100,68
2018-06-01,Texas,193800,1168
2017-10-01,Delaware,239100,602
2015-01-01,Arkansas,132100,1253
2012-12-01,South Carolina,128100,428
2021-10-01,Minnesota,327600,6558
2022-02-01,Missouri,183500,320
2020-10-01,Maine,279200,2566
2021-07-01,Colorado,793600,75
2014-07-01,Louisiana,177600,112
2015-03-01,Indiana,134700,52
2019-08-01,New Hampshire,224800,263
2018-08-01,Indiana,141500,324
2021-10-01,California,766400,1829
2019-08-01,Pennsylvania,196100,3617
2019-07-01,Vermont,229100,77
2014-01-01,Texas,196900,433
2017-03-01,Iowa,169000,1
2016-01-01,Kansas,123600,52
2014-03-01,Michigan,51600,111
2016-08-01,Texas,228000,27029
2014-05-01,Georgia,201900,8504
2021-08-01,New Jersey,338900,1558
2016-03-01,Arizona,190300,67
2020-06-01,Hawaii,634500,3
2012-09-01,Indiana,130000,2827
2015-07-01,Mississippi,135400,34
2015-11-01,Washington,344200,363
2015-04-01,Hawaii,361500,624
2016-02-01,Mississippi,140100,23
2012-04-01,Missouri,103700,30
2015-10-01,Virginia,221600,39
2016-01-01,Kentucky,117300,30
2018-09-01,New Jersey,343900,647
2014-09-01,Indiana,121300,284
2020-12-01,Iowa,174000,12
2012-07-01,Georgia,114200,454
2022-04-01,Columbia,895000,389
2020-06-01,Massachusetts,458700,6915
2014-08-01,Arkansas,145000,1957
2014-02-01,Utah,226400,2209
2018-05-01,Hawaii,651600,687
2015-11-01,Florida,170700,280
2021-02-01,Kansas,253000,1388
2012-12-01,South Dakota,175700,30
2018-07-01,West Virginia,158300,47
2019-07-01,Wisconsin,215500,7065
2020-01-01,Louisiana,243300,92
2013-08-01,Virginia,243400,861
2017-09-01,Nevada,276600,4011
2014-08-01,Maryland,273000,6313
2022-01-01,Vermont,253000,35
2017-05-01,Louisiana,200400,2768
2012-08-01,Virginia,308700,1381
2019-10-01,Florida,180800,6566
2022-04-01,Pennsylvania,200300,361
2017-09-01,Wisconsin,177100,7264
2021-06-01,Florida,255900,12188
2013-02-01,Washington,260400,240
2014-07-01,Maine,173700,16
2013-03-01,South Carolina,109000,463
2012-10-01,Delaware,117500,110
2014-07-01,Indiana,119200,353
2015-07-01,Maine,159900,21
2019-04-01,Hawaii,534200,1386
2014-05-01,Indiana,117000,288
2020-06-01,Colorado,468100,6493
2020-07-01,Washington,534800,695
2016-01-01,Iowa,136700,93
2015-11-01,Wisconsin,160800,3822
2015-09-01,New York,224800,6848
2018-12-01,Utah,311700,3296
2020-04-01,Florida,289800,20426
2018-10-01,New Mexico,443000,225
2013-03-01,Colorado,272200,4951
2016-09-01,Florida,189000,2515
2016-10-01,Missouri,162500,4452
2016-04-01,Texas,223200,21122
2020-08-01,Utah,392700,5197
2017-12-01,Maryland,339900,3964
2014-06-01,Georgia,109000,38
2015-01-01,Tennessee,172500,3889
2014-03-01,Vermont,195900,416
2013-02-01,Texas,139600,159
2018-12-01,Georgia,235700,8517
2016-04-01,South Dakota,184800,397
2021-11-01,Kentucky,236600,3418
2016-07-01,Nevada,148000,239
2021-07-01,Texas,333200,33510
2015-10-01,West Virginia,172300,284
2016-03-01,Arkansas,82800,15
2014-07-01,South Dakota,140400,38
2015-04-01,New Hampshire,163600,137
2017-03-01,Florida,194200,2851
2012-11-01,Indiana,136400,33
2018-05-01,Alabama,180000,2
2020-08-01,Indiana,175100,349
2014-12-01,Ohio,119700,819
2013-01-01,Nebraska,151600,63
2016-10-01,Pennsylvania,186700,9893
2018-12-01,Delaware,257600,497
2019-09-01,Pennsylvania,237000,6811
2014-06-01,Connecticut,207700,2102
2014-05-01,Kansas,142300,21
2012-06-01,Vermont,165700,38
2013-11-01,New Mexico,339500,162
2020-03-01,North Carolina,271400,9403
2017-11-01,New York,418600,277
2017-09-01,New York,529800,961
2015-11-01,Columbia,540000,684
2021-08-01,New Mexico,504600,269
2017-01-01,Tennessee,183200,187
2018-12-01,Ohio,156700,8469
2013-03-01,Hawaii,345300,534
2015-01-01,Minnesota,164300,74
2021-02-01,Nevada,346600,4432
2014-03-01,Delaware,216100,343
2016-07-01,South Carolina,167900,297
2014-12-01,Washington,214000,649
2013-11-01,Louisiana,172000,1637
2018-08-01,Louisiana,206900,3136
2020-05-01,Illinois,209700,960
2019-07-01,Delaware,244500,991
2019-08-01,Utah,449300,44
2012-12-01,Georgia,134800,7502
2012-09-01,Alaska,259700,532
2018-10-01,Texas,241400,22648
2012-10-01,Massachusetts,285600,5565
2018-07-01,Illinois,227700,15375
2020-01-01,Arkansas,198200,40
2018-04-01,Illinois,227900,9472
2018-10-01,Mississippi,105000,21
2014-12-01,Virginia,318300,6227
2015-11-01,Georgia,166300,540
2013-01-01,Kentucky,127300,1717
2012-05-01,New Hampshire,192100,1534
2015-07-01,Washington,342100,8872
2017-08-01,Florida,233600,368
2021-02-01,Alabama,188500,10
2019-08-01,Kentucky,152700,295
