period_begin,period_end,state,property_type,median_sale_price,homes_sold
2014-11-01,2014-11-30,West Virginia,All Residential,151500,236
2021-07-01,2021-07-31,Wisconsin,Multi-Family (2-4 Unit),194400,577
2017-04-01,2017-04-30,California,Townhouse,571900,1284
2018-12-01,2018-12-31,Tennessee,Condo/Co-op,233800,235
2021-12-01,2021-12-31,California,All Residential,742500,34265
2013-02-01,2013-02-28,South Dakota,Condo/Co-op,115000,5
2012-03-01,2012-03-31,Florida,Single Family Residential,145900,15106
2017-10-01,2017-10-31,Connecticut,Single Family Residential,269400,2957
2020-08-01,2020-08-31,Wisconsin,All Residential,235100,8839
2021-03-01,2021-03-31,Idaho,All Residential,414700,2391
2015-07-01,2015-07-31,Pennsylvania,All Residential,198900,12170
2012-04-01,2012-04-30,Utah,Condo/Co-op,152200,212
2015-07-01,2015-07-31,Washington,All Residential,332600,10731
2018-01-01,2018-01-31,Arkansas,Condo/Co-op,124100,50
2013-01-01,2013-01-31,New Jersey,Townhouse,223800,134
2016-05-01,2016-05-31,Nebraska,Condo/Co-op,158200,52
2016-10-01,2016-10-31,Delaware,Townhouse,164300,154
2021-10-01,2021-10-31,Massachusetts,Townhouse,453500,750
2015-09-01,2015-09-30,Nevada,Multi-Family (2-4 Unit),186600,36
2020-05-01,2020-05-31,Colorado,Single Family Residential,463200,3678
2022-01-01,2022-01-31,Colorado,Townhouse,465200,613
2016-07-01,2016-07-31,Kansas,Multi-Family (2-4 Unit),140700,27
2013-02-01,2013-02-28,North Carolina,Townhouse,150900,246
2019-09-01,2019-09-30,California,Single Family Residential,574500,24223
2016-08-01,2016-08-31,Alabama,All Residential,172100,3569
2014-11-01,2014-11-30,Oregon,Townhouse,236200,169
2021-02-01,2021-02-28,Florida,Single Family Residential,334200,24112
2014-11-01,2014-11-30,New York,Townhouse,178200,129
2017-05-01,2017-05-31,Alaska,Condo/Co-op,195500,96
2020-01-01,2020-01-31,New Jersey,Townhouse,250700,519
2013-04-01,2013-04-30,Vermont,All Residential,211400,493
2012-08-01,2012-08-31,Iowa,Townhouse,177500,4
2019-03-01,2019-03-31,New Jersey,Condo/Co-op,291200,1018
2012-05-01,2012-05-31,Nebraska,Multi-Family (2-4 Unit),84500,6
2018-07-01,2018-07-31,New York,Multi-Family (2-4 Unit),620000,998
2021-01-01,2021-01-31,Utah,Multi-Family (2-4 Unit),454700,40
2013-07-01,2013-07-31,Louisiana,Condo/Co-op,176200,147
2018-03-01,2018-03-31,Kansas,Condo/Co-op,115900,28
2016-08-01,2016-08-31,Kansas,All Residential,188900,2471
2021-05-01,2021-05-31,Idaho,All Residential,451900,2480
2014-01-01,2014-01-31,Wisconsin,Townhouse,170000,1
2020-03-01,2020-03-31,Nevada,Multi-Family (2-4 Unit),381000,31
2013-03-01,2013-03-31,California,All Residential,365000,31359
2019-07-01,2019-07-31,Kentucky,Single Family Residential,203700,3404
2021-11-01,2021-11-30,Vermont,Condo/Co-op,285800,59
2012-08-01,2012-08-31,Indiana,Townhouse,155800,52
2015-12-01,2015-12-31,North Carolina,Condo/Co-op,155100,288
2012-10-01,2012-10-31,Oklahoma,Multi-Family (2-4 Unit),110800,36
2021-07-01,2021-07-31,New York,Multi-Family (2-4 Unit),708700,1125
2017-12-01,2017-12-31,Alabama,Multi-Family (2-4 Unit),123200,4
2015-05-01,2015-05-31,Michigan,Condo/Co-op,126700,1637
2019-11-01,2019-11-30,Wisconsin,Condo/Co-op,189700,507
2019-04-01,2019-04-30,Florida,All Residential,252400,38855
2020-09-01,2020-09-30,New Hampshire,Townhouse,264900,212
2020-11-01,2020-11-30,Minnesota,Condo/Co-op,192200,271
2013-04-01,2013-04-30,Georgia,Condo/Co-op,122000,648
2014-07-01,2014-07-31,South Carolina,All Residential,189700,4145
2022-03-01,2022-03-31,Mississippi,Single Family Residential,248800,1428
2015-04-01,2015-04-30,West Virginia,Single Family Residential,176800,230
2017-08-01,2017-08-31,Indiana,Townhouse,162700,108
2017-08-01,2017-08-31,Connecticut,Single Family Residential,293500,3930
2012-02-01,2012-02-29,Kentucky,All Residential,126200,1549
2016-04-01,2016-04-30,California,All Residential,499300,32702
2016-11-01,2016-11-30,Ohio,Condo/Co-op,125200,1028
2019-04-01,2019-04-30,Tennessee,Single Family Residential,251200,6660
2014-05-01,2014-05-31,Louisiana,Multi-Family (2-4 Unit),135300,115
2021-06-01,2021-06-30,Colorado,All Residential,547700,9722
2020-10-01,2020-10-31,Nebraska,Multi-Family (2-4 Unit),168800,16
2021-05-01,2021-05-31,Kansas,Multi-Family (2-4 Unit),264200,30
2021-03-01,2021-03-31,Nebraska,Single Family Residential,245400,1162
2016-08-01,2016-08-31,Michigan,Single Family Residential,162000,11292
2015-09-01,2015-09-30,Massachusetts,Townhouse,314800,712
2013-08-01,2013-08-31,Washington,Townhouse,294400,467
2013-01-01,2013-01-31,Maryland,Townhouse,162400,1142
2014-05-01,2014-05-31,Maine,Single Family Residential,134700,399
2016-11-01,2016-11-30,Missouri,Condo/Co-op,137300,329
2016-06-01,2016-06-30,Vermont,All Residential,224200,851
2013-01-01,2013-01-31,Oregon,Multi-Family (2-4 Unit),215400,62
2021-08-01,2021-08-31,Oregon,Single Family Residential,489300,5723
2019-11-01,2019-11-30,California,Townhouse,618600,1300
2020-07-01,2020-07-31,Florida,Single Family Residential,314800,30658
2016-03-01,2016-03-31,New Jersey,Single Family Residential,237200,3668
2020-04-01,2020-04-30,Iowa,All Residential,208700,1252
2013-07-01,2013-07-31,Tennessee,Townhouse,222500,3
2016-04-01,2016-04-30,Arkansas,Condo/Co-op,118800,37
2022-03-01,2022-03-31,California,All Residential,812900,35313
2021-05-01,2021-05-31,Alaska,Multi-Family (2-4 Unit),405300,39
2021-05-01,2021-05-31,North Carolina,Condo/Co-op,241000,666
2016-02-01,2016-02-29,Mississippi,Multi-Family (2-4 Unit),136100,4
2015-04-01,2015-04-30,Michigan,Single Family Residential,132800,8430
2017-08-01,2017-08-31,Hawaii,Single Family Residential,645500,722
2021-07-01,2021-07-31,Columbia,Townhouse,845000,390
2012-07-01,2012-07-31,Hawaii,All Residential,382400,933
2018-02-01,2018-02-28,Florida,Condo/Co-op,170200,6247
2014-11-01,2014-11-30,Kentucky,Single Family Residential,142800,1894
2015-02-01,2015-02-28,New York,Townhouse,138300,95
2015-07-01,2015-07-31,Nebraska,Townhouse,161200,151
2014-05-01,2014-05-31,Illinois,Condo/Co-op,206900,2643
2021-04-01,2021-04-30,Arkansas,Multi-Family (2-4 Unit),220800,21
2015-12-01,2015-12-31,Kansas,Single Family Residential,178700,1629
2013-10-01,2013-10-31,Columbia,Multi-Family (2-4 Unit),283000,15
2020-12-01,2020-12-31,Wisconsin,Single Family Residential,229700,5572
2018-11-01,2018-11-30,Utah,Townhouse,275000,451
2014-08-01,2014-08-31,Washington,Townhouse,303000,437
2015-12-01,2015-12-31,Kansas,Multi-Family (2-4 Unit),180400,11
2017-09-01,2017-09-30,Hawaii,Condo/Co-op,419800,735
2016-12-01,2016-12-31,Florida,Multi-Family (2-4 Unit),221700,345
2013-03-01,2013-03-31,New Mexico,Single Family Residential,302300,130
2016-10-01,2016-10-31,Colorado,Single Family Residential,379300,5456
2022-03-01,2022-03-31,Colorado,Multi-Family (2-4 Unit),960600,48
2013-10-01,2013-10-31,Georgia,Multi-Family (2-4 Unit),113700,55
2020-01-01,2020-01-31,Nevada,Multi-Family (2-4 Unit),360100,32
2018-12-01,2018-12-31,Arizona,Multi-Family (2-4 Unit),266300,88
2021-05-01,2021-05-31,Delaware,Single Family Residential,317800,614
2012-08-01,2012-08-31,Louisiana,Multi-Family (2-4 Unit),119200,72
2018-06-01,2018-06-30,Oklahoma,Condo/Co-op,90100,68
2018-06-01,2018-06-30,Texas,Condo/Co-op,193800,1168
2017-10-01,2017-10-31,Delaware,Single Family Residential,239100,602
2015-01-01,2015-01-31,Arkansas,All Residential,132100,1253
2012-12-01,2012-12-31,South Carolina,Condo/Co-op,128100,428
2021-10-01,2021-10-31,Minnesota,Single Family Residential,327600,6558
2022-02-01,2022-02-28,Missouri,Condo/Co-op,183500,320
2020-10-01,2020-10-31,Maine,All Residential,279200,2566
2021-07-01,2021-07-31,Colorado,Multi-Family (2-4 Unit),793600,75
2014-07-01,2014-07-31,Louisiana,Multi-Family (2-4 Unit),177600,112
2015-03-01,2015-03-31,Indiana,Townhouse,134700,52
2019-08-01,2019-08-31,New Hampshire,Condo/Co-op,224800,263
2018-08-01,2018-08-31,Indiana,Condo/Co-op,141500,324
2021-10-01,2021-10-31,California,Townhouse,766400,1829
2019-08-01,2019-08-31,Pennsylvania,Townhouse,196100,3617
2019-07-01,2019-07-31,Vermont,Townhouse,229100,77
2014-01-01,2014-01-31,Texas,Townhouse,196900,433
2017-03-01,2017-03-31,Iowa,Townhouse,169000,1
2016-01-01,2016-01-31,Kansas,Townhouse,123600,52
2014-03-01,2014-03-31,Michigan,Multi-Family (2-4 Unit),51600,111
2016-08-01,2016-08-31,Texas,All Residential,228000,27029
2014-05-01,2014-05-31,Georgia,Single Family Residential,201900,8504
2021-08-01,2021-08-31,New Jersey,Condo/Co-op,338900,1558
2016-03-01,2016-03-31,Arizona,Multi-Family (2-4 Unit),190300,67
2020-06-01,2020-06-30,Hawaii,Townhouse,634500,3
2012-09-01,2012-09-30,Indiana,Single Family Residential,130000,2827
2015-07-01,2015-07-31,Mississippi,Condo/Co-op,135400,34
2015-11-01,2015-11-30,Washington,Townhouse,344200,363
2015-04-01,2015-04-30,Hawaii,Condo/Co-op,361500,624
2016-02-01,2016-02-29,Mississippi,Condo/Co-op,140100,23
2012-04-01,2012-04-30,Missouri,Condo/Co-op,103700,30
2015-10-01,2015-10-31,Virginia,Multi-Family (2-4 Unit),221600,39
2016-01-01,2016-01-31,Kentucky,Multi-Family (2-4 Unit),117300,30
2018-09-01,2018-09-30,New Jersey,Multi-Family (2-4 Unit),343900,647
2014-09-01,2014-09-30,Indiana,Condo/Co-op,121300,284
2020-12-01,2020-12-31,Iowa,Multi-Family (2-4 Unit),174000,12
2012-07-01,2012-07-31,Georgia,Townhouse,114200,454
2022-04-01,2022-04-30,Columbia,Townhouse,895000,389
2020-06-01,2020-06-30,Massachusetts,All Residential,458700,6915
2014-08-01,2014-08-31,Arkansas,Single Family Residential,145000,1957
2014-02-01,2014-02-28,Utah,All Residential,226400,2209
2018-05-01,2018-05-31,Hawaii,Single Family Residential,651600,687
2015-11-01,2015-11-30,Florida,Multi-Family (2-4 Unit),170700,280
2021-02-01,2021-02-28,Kansas,Single Family Residential,253000,1388
2012-12-01,2012-12-31,South Dakota,Townhouse,175700,30
2018-07-01,2018-07-31,West Virginia,Townhouse,158300,47
2019-07-01,2019-07-31,Wisconsin,Single Family Residential,215500,7065
2020-01-01,2020-01-31,Louisiana,Multi-Family (2-4 Unit),243300,92
2013-08-01,2013-08-31,Virginia,Condo/Co-op,243400,861
2017-09-01,2017-09-30,Nevada,Single Family Residential,276600,4011
2014-08-01,2014-08-31,Maryland,All Residential,273000,6313
2022-01-01,2022-01-31,Vermont,Multi-Family (2-4 Unit),253000,35
2017-05-01,2017-05-31,Louisiana,Single Family Residential,200400,2768
2012-08-01,2012-08-31,Virginia,Townhouse,308700,1381
2019-10-01,2019-10-31,Florida,Condo/Co-op,180800,6566
2022-04-01,2022-04-30,Pennsylvania,Multi-Family (2-4 Unit),200300,361
2017-09-01,2017-09-30,Wisconsin,All Residential,177100,7264
2021-06-01,2021-06-30,Florida,Condo/Co-op,255900,12188
2013-02-01,2013-02-28,Washington,Townhouse,260400,240
2014-07-01,2014-07-31,Maine,Condo/Co-op,173700,16
2013-03-01,2013-03-31,South Carolina,Condo/Co-op,109000,463
2012-10-01,2012-10-31,Delaware,Townhouse,117500,110
2014-07-01,2014-07-31,Indiana,Condo/Co-op,119200,353
2015-07-01,2015-07-31,Maine,Condo/Co-op,159900,21
2019-04-01,2019-04-30,Hawaii,All Residential,534200,1386
2014-05-01,2014-05-31,Indiana,Condo/Co-op,117000,288
2020-06-01,2020-06-30,Colorado,Single Family Residential,468100,6493
2020-07-01,2020-07-31,Washington,Townhouse,534800,695
2016-01-01,2016-01-31,Iowa,Condo/Co-op,136700,93
2015-11-01,2015-11-30,Wisconsin,Single Family Residential,160800,3822
2015-09-01,2015-09-30,New York,Single Family Residential,224800,6848
2018-12-01,2018-12-31,Utah,All Residential,311700,3296
2020-04-01,2020-04-30,Florida,Single Family Residential,289800,20426
2018-10-01,2018-10-31,New Mexico,Single Family Residential,443000,225
2013-03-01,2013-03-31,Colorado,Single Family Residential,272200,4951
2016-09-01,2016-09-30,Florida,Townhouse,189000,2515
2016-10-01,2016-10-31,Missouri,Single Family Residential,162500,4452
2016-04-01,2016-04-30,Texas,Single Family Residential,223200,21122
2020-08-01,2020-08-31,Utah,All Residential,392700,5197
2017-12-01,2017-12-31,Maryland,Single Family Residential,339900,3964
2014-06-01,2014-06-30,Georgia,Multi-Family (2-4 Unit),109000,38
2015-01-01,2015-01-31,Tennessee,All Residential,172500,3889
2014-03-01,2014-03-31,Vermont,All Residential,195900,416
2013-02-01,2013-02-28,Texas,Multi-Family (2-4 Unit),139600,159
2018-12-01,2018-12-31,Georgia,Single Family Residential,235700,8517
2016-04-01,2016-04-30,South Dakota,All Residential,184800,397
2021-11-01,2021-11-30,Kentucky,All Residential,236600,3418
2016-07-01,2016-07-31,Nevada,Townhouse,148000,239
2021-07-01,2021-07-31,Texas,All Residential,333200,33510
2015-10-01,2015-10-31,West Virginia,Single Family Residential,172300,284
2016-03-01,2016-03-31,Arkansas,Townhouse,82800,15
2014-07-01,2014-07-31,South Dakota,Townhouse,140400,38
2015-04-01,2015-04-30,New Hampshire,Townhouse,163600,137
2017-03-01,2017-03-31,Florida,Townhouse,194200,2851
2012-11-01,2012-11-30,Indiana,Townhouse,136400,33
2018-05-01,2018-05-31,Alabama,Multi-Family (2-4 Unit),180000,2
2020-08-01,2020-08-31,Indiana,Condo/Co-op,175100,349
2014-12-01,2014-12-31,Ohio,Condo/Co-op,119700,819
2013-01-01,2013-01-31,Nebraska,Townhouse,151600,63
2016-10-01,2016-10-31,Pennsylvania,All Residential,186700,9893
2018-12-01,2018-12-31,Delaware,Single Family Residential,257600,497
2019-09-01,2019-09-30,Pennsylvania,Single Family Residential,237000,6811
2014-06-01,2014-06-30,Connecticut,All Residential,207700,2102
2014-05-01,2014-05-31,Kansas,Multi-Family (2-4 Unit),142300,21
2012-06-01,2012-06-30,Vermont,Condo/Co-op,165700,38
2013-11-01,2013-11-30,New Mexico,All Residential,339500,162
2020-03-01,2020-03-31,North Carolina,Single Family Residential,271400,9403
2017-11-01,2017-11-30,New York,Townhouse,418600,277
2017-09-01,2017-09-30,New York,Multi-Family (2-4 Unit),529800,961
2015-11-01,2015-11-30,Columbia,All Residential,540000,684
2021-08-01,2021-08-31,New Mexico,Single Family Residential,504600,269
2017-01-01,2017-01-31,Tennessee,Townhouse,183200,187
2018-12-01,2018-12-31,Ohio,Single Family Residential,156700,8469
2013-03-01,2013-03-31,Hawaii,Condo/Co-op,345300,534
2015-01-01,2015-01-31,Minnesota,Multi-Family (2-4 Unit),164300,74
2021-02-01,2021-02-28,Nevada,All Residential,346600,4432
2014-03-01,2014-03-31,Delaware,Single Family Residential,216100,343
2016-07-01,2016-07-31,South Carolina,Townhouse,167900,297
2014-12-01,2014-12-31,Washington,Condo/Co-op,214000,649
2013-11-01,2013-11-30,Louisiana,Single Family Residential,172000,1637
2018-08-01,2018-08-31,Louisiana,All Residential,206900,3136
2020-05-01,2020-05-31,Illinois,Townhouse,209700,960
2019-07-01,2019-07-31,Delaware,All Residential,244500,991
2019-08-01,2019-08-31,Utah,Multi-Family (2-4 Unit),449300,44
2012-12-01,2012-12-31,Georgia,All Residential,134800,7502
2012-09-01,2012-09-30,Alaska,All Residential,259700,532
2018-10-01,2018-10-31,Texas,All Residential,241400,22648
2012-10-01,2012-10-31,Massachusetts,All Residential,285600,5565
2018-07-01,2018-07-31,Illinois,All Residential,227700,15375
2020-01-01,2020-01-31,Arkansas,Condo/Co-op,198200,40
2018-04-01,2018-04-30,Illinois,Single Family Residential,227900,9472
2018-10-01,2018-10-31,Mississippi,Condo/Co-op,105000,21
2014-12-01,2014-12-31,Virginia,All Residential,318300,6227
2015-11-01,2015-11-30,Georgia,Condo/Co-op,166300,540
2013-01-01,2013-01-31,Kentucky,All Residential,127300,1717
2012-05-01,2012-05-31,New Hampshire,All Residential,192100,1534
2015-07-01,2015-07-31,Washington,Single Family Residential,342100,8872
2017-08-01,2017-08-31,Florida,Multi-Family (2-4 Unit),233600,368
2021-02-01,2021-02-28,Alabama,Multi-Family (2-4 Unit),188500,10
2019-08-01,2019-08-31,Kentucky,Condo/Co-op,152700,295
2017-06-01,2017-06-30,Colorado,All Residential,397200,8642
2017-12-01,2017-12-31,Indiana,Townhouse,161600,89
2013-05-01,2013-05-31,Iowa,Condo/Co-op,131300,165
2012-11-01,2012-11-30,Illinois,Condo/Co-op,118500,1904
2014-09-01,2014-09-30,Pennsylvania,All Residential,177800,9026
2013-12-01,2013-12-31,Connecticut,Single Family Residential,206800,1251
2020-07-01,2020-07-31,Tennessee,Condo/Co-op,231000,402
2018-03-01,2018-03-31,Idaho,Townhouse,203000,43
2018-10-01,2018-10-31,Arkansas,All Residential,164800,2246
2022-02-01,2022-02-28,Oklahoma,Townhouse,161700,23
2019-09-01,2019-09-30,New Hampshire,All Residential,283300,2206
2013-11-01,2013-11-30,Kentucky,All Residential,140200,2276
2018-04-01,2018-04-30,West Virginia,Single Family Residential,192500,296
2015-09-01,2015-09-30,Pennsylvania,Townhouse,151700,2297
2015-11-01,2015-11-30,Indiana,Multi-Family (2-4 Unit),43000,42
2018-09-01,2018-09-30,Idaho,Multi-Family (2-4 Unit),283600,21
2017-08-01,2017-08-31,New Mexico,Townhouse,271300,13
2019-11-01,2019-11-30,Mississippi,Single Family Residential,180400,1015
2013-06-01,2013-06-30,Washington,All Residential,288800,8083
2015-01-01,2015-01-31,Maine,Single Family Residential,116200,284
2016-02-01,2016-02-29,Pennsylvania,Condo/Co-op,200500,303
2016-11-01,2016-11-30,Georgia,All Residential,205900,9976
2016-04-01,2016-04-30,Oregon,Multi-Family (2-4 Unit),303700,113
2021-05-01,2021-05-31,Massachusetts,Condo/Co-op,532100,1705
2013-07-01,2013-07-31,Wisconsin,Townhouse,141000,9
2014-01-01,2014-01-31,Hawaii,Single Family Residential,561300,426
2020-08-01,2020-08-31,Maryland,Townhouse,274700,2920
2021-03-01,2021-03-31,Georgia,Condo/Co-op,242800,949
2012-11-01,2012-11-30,Nevada,All Residential,140300,4185
2016-08-01,2016-08-31,Mississippi,Multi-Family (2-4 Unit),64900,5
2017-06-01,2017-06-30,Michigan,All Residential,173800,14135
2016-03-01,2016-03-31,Kentucky,Multi-Family (2-4 Unit),131800,34
2014-10-01,2014-10-31,Indiana,Single Family Residential,143700,3747
2015-02-01,2015-02-28,Ohio,Townhouse,93000,41
2021-03-01,2021-03-31,Maine,Multi-Family (2-4 Unit),293100,77
2019-01-01,2019-01-31,Colorado,Townhouse,413300,245
2012-11-01,2012-11-30,Florida,Townhouse,123600,1882
2022-02-01,2022-02-28,Tennessee,Multi-Family (2-4 Unit),301100,46
2021-02-01,2021-02-28,Illinois,Townhouse,226800,945
2018-05-01,2018-05-31,Georgia,Condo/Co-op,208500,827
2019-07-01,2019-07-31,Idaho,Single Family Residential,303200,2852
2016-12-01,2016-12-31,Tennessee,Townhouse,179300,183
2021-10-01,2021-10-31,Alaska,Condo/Co-op,219400,122
2021-10-01,2021-10-31,Ohio,Single Family Residential,214900,12867
2016-05-01,2016-05-31,Maryland,Townhouse,219200,2508
2021-10-01,2021-10-31,Illinois,Multi-Family (2-4 Unit),334300,629
2018-10-01,2018-10-31,Michigan,Condo/Co-op,174000,1694
2013-07-01,2013-07-31,Alaska,Multi-Family (2-4 Unit),323200,25
2017-05-01,2017-05-31,Iowa,Condo/Co-op,154800,236
2012-01-01,2012-01-31,Idaho,Townhouse,86400,13
2016-10-01,2016-10-31,Maryland,Townhouse,211400,2044
2014-05-01,2014-05-31,South Dakota,All Residential,163200,430
2016-06-01,2016-06-30,Mississippi,Multi-Family (2-4 Unit),51000,5
2019-04-01,2019-04-30,Vermont,All Residential,224600,628
2012-05-01,2012-05-31,Massachusetts,All Residential,299400,6483
2015-11-01,2015-11-30,Maine,Single Family Residential,143100,477
2014-12-01,2014-12-31,Kansas,All Residential,173100,1605
2021-07-01,2021-07-31,Kentucky,Single Family Residential,246500,3528
2019-12-01,2019-12-31,Alabama,Townhouse,181100,102
2014-04-01,2014-04-30,South Dakota,All Residential,158000,323
2018-08-01,2018-08-31,Columbia,All Residential,550000,897
2012-08-01,2012-08-31,Delaware,Townhouse,135800,149
2014-07-01,2014-07-31,Maryland,Multi-Family (2-4 Unit),89500,11
2016-06-01,2016-06-30,Wisconsin,All Residential,178100,9367
2019-03-01,2019-03-31,New Jersey,Single Family Residential,296900,6682
