period_begin,period_end,state,property_type,median_sale_price,homes_sold
2017-03-01,2017-03-31,Minnesota,Single Family Residential,232400,4451
2018-02-01,2018-02-28,Alaska,Multi-Family (2-4 Unit),385700,25
2012-01-01,2012-01-31,Nevada,Condo/Co-op,51800,452
2016-08-01,2016-08-31,Maryland,Single Family Residential,336700,4972
2013-07-01,2013-07-31,Alaska,All Residential,270600,704
2012-09-01,2012-09-30,Vermont,Single Family Residential,224200,352
2018-11-01,2018-11-30,Utah,Single Family Residential,348400,2737
2022-05-01,2022-05-31,Texas,Townhouse,353800,898
2022-01-01,2022-01-31,Wisconsin,Condo/Co-op,215500,402
2017-12-01,2017-12-31,Maine,Condo/Co-op,245400,127
2021-09-01,2021-09-30,Delaware,All Residential,285000,1134
2017-05-01,2017-05-31,Wisconsin,Multi-Family (2-4 Unit),133000,338
2022-04-01,2022-04-30,Maryland,Multi-Family (2-4 Unit),238800,49
2018-09-01,2018-09-30,Kentucky,Multi-Family (2-4 Unit),126300,19
2020-02-01,2020-02-29,Delaware,Townhouse,173500,157
2015-01-01,2015-01-31,Florida,Single Family Residential,195200,14087
2021-06-01,2021-06-30,Texas,Townhouse,299300,1077
2018-04-01,2018-04-30,Nevada,Single Family Residential,301200,3777
2012-09-01,2012-09-30,Colorado,Townhouse,206200,239
2015-11-01,2015-11-30,Texas,Multi-Family (2-4 Unit),184400,142
2015-04-01,2015-04-30,New York,All Residential,208300,5229
2012-08-01,2012-08-31,Wisconsin,Multi-Family (2-4 Unit),49400,46
2017-03-01,2017-03-31,Washington,Single Family Residential,372400,7928
2015-03-01,2015-03-31,Illinois,Townhouse,182200,929
2021-01-01,2021-01-31,Alaska,Single Family Residential,308500,382
2018-12-01,2018-12-31,Columbia,Condo/Co-op,449800,270
2014-04-01,2014-04-30,Connecticut,Multi-Family (2-4 Unit),107900,84
2019-12-01,2019-12-31,New York,Multi-Family (2-4 Unit),580700,1029
2013-04-01,2013-04-30,Oregon,Single Family Residential,236800,3672
2016-04-01,2016-04-30,New York,Townhouse,234500,188
2013-03-01,2013-03-31,Nebraska,All Residential,136400,1272
2015-04-01,2015-04-30,Georgia,Condo/Co-op,161200,731
2021-03-01,2021-03-31,Michigan,Townhouse,325800,4
2013-10-01,2013-10-31,Indiana,Single Family Residential,132500,3527
2021-05-01,2021-05-31,Oklahoma,Townhouse,194700,27
2017-02-01,2017-02-28,Iowa,All Residential,166300,786
2021-06-01,2021-06-30,Utah,All Residential,492200,4838
2021-04-01,2021-04-30,Kentucky,Multi-Family (2-4 Unit),216100,35
2021-05-01,2021-05-31,North Carolina,All Residential,308800,13239
2021-04-01,2021-04-30,South Carolina,Single Family Residential,318200,5471
2016-05-01,2016-05-31,Mississippi,Single Family Residential,161800,1190
2013-02-01,2013-02-28,Pennsylvania,Condo/Co-op,183900,327
2012-03-01,2012-03-31,Nebraska,Single Family Residential,135900,973
2017-11-01,2017-11-30,Minnesota,Condo/Co-op,172000,258
2017-05-01,2017-05-31,Illinois,Single Family Residential,226400,11137
2020-11-01,2020-11-30,Michigan,Condo/Co-op,189700,1336
2016-03-01,2016-03-31,Nebraska,Multi-Family (2-4 Unit),166500,15
2021-01-01,2021-01-31,Texas,Multi-Family (2-4 Unit),294900,188
2017-12-01,2017-12-31,Maine,Single Family Residential,202200,1341
2014-06-01,2014-06-30,North Carolina,Condo/Co-op,138600,247
2021-06-01,2021-06-30,Connecticut,All Residential,377500,6222
2016-11-01,2016-11-30,Missouri,Single Family Residential,161000,4155
2012-10-01,2012-10-31,Columbia,Townhouse,540000,240
2017-09-01,2017-09-30,Texas,Condo/Co-op,185400,903
2022-04-01,2022-04-30,Alaska,Multi-Family (2-4 Unit),441000,36
2018-12-01,2018-12-31,Minnesota,Condo/Co-op,213400,255
2019-08-01,2019-08-31,Florida,Single Family Residential,278000,26260
2016-10-01,2016-10-31,Louisiana,Single Family Residential,189900,2361
2012-01-01,2012-01-31,New York,Condo/Co-op,224500,220
2022-03-01,2022-03-31,Kentucky,Single Family Residential,243700,2839
2019-12-01,2019-12-31,Colorado,All Residential,426900,6420
2017-10-01,2017-10-31,Indiana,All Residential,164400,4721
2020-12-01,2020-12-31,Arkansas,Single Family Residential,198200,2714
2015-04-01,2015-04-30,Missouri,Single Family Residential,152400,4452
2017-04-01,2017-04-30,New Hampshire,Multi-Family (2-4 Unit),189000,60
2019-01-01,2019-01-31,Pennsylvania,Single Family Residential,212300,4127
2015-10-01,2015-10-31,Idaho,All Residential,193300,2005
2020-07-01,2020-07-31,Washington,Multi-Family (2-4 Unit),554800,132
2014-09-01,2014-09-30,Columbia,Single Family Residential,595000,95
2020-12-01,2020-12-31,Maine,Townhouse,610000,1
2017-02-01,2017-02-28,California,Single Family Residential,502000,16813
2022-04-01,2022-04-30,Missouri,Single Family Residential,250600,5117
2018-07-01,2018-07-31,Oklahoma,All Residential,168700,4135
2013-06-01,2013-06-30,Texas,Single Family Residential,194600,21786
2021-06-01,2021-06-30,Nevada,Condo/Co-op,207500,795
2021-09-01,2021-09-30,California,Single Family Residential,776000,28879
2016-12-01,2016-12-31,Massachusetts,Condo/Co-op,369900,1139
2015-08-01,2015-08-31,North Carolina,All Residential,198000,9780
2014-11-01,2014-11-30,Kansas,Single Family Residential,173200,1392
2020-09-01,2020-09-30,New Jersey,Multi-Family (2-4 Unit),425100,611
2015-03-01,2015-03-31,Pennsylvania,Townhouse,136900,1998
2020-03-01,2020-03-31,California,All Residential,590200,28496
2012-07-01,2012-07-31,Louisiana,Multi-Family (2-4 Unit),129800,98
2022-01-01,2022-01-31,Oklahoma,Multi-Family (2-4 Unit),170200,49
2021-05-01,2021-05-31,South Carolina,Single Family Residential,324300,5318
2017-01-01,2017-01-31,Virginia,Single Family Residential,304600,4366
2017-09-01,2017-09-30,Nebraska,Townhouse,193900,107
2016-11-01,2016-11-30,Rhode Island,Multi-Family (2-4 Unit),197400,165
2019-09-01,2019-09-30,Kentucky,Single Family Residential,192800,2887
2012-04-01,2012-04-30,Connecticut,Single Family Residential,212500,1036
2021-01-01,2021-01-31,Georgia,Multi-Family (2-4 Unit),299600,58
2015-07-01,2015-07-31,Kansas,Multi-Family (2-4 Unit),96900,13
2020-12-01,2020-12-31,Texas,Townhouse,261800,885
2021-03-01,2021-03-31,Illinois,Townhouse,243400,1325
2022-02-01,2022-02-28,Louisiana,Condo/Co-op,233600,188
2014-02-01,2014-02-28,Alabama,Multi-Family (2-4 Unit),170000,2
2022-01-01,2022-01-31,Delaware,Townhouse,237100,188
2017-02-01,2017-02-28,Pennsylvania,Single Family Residential,187300,4288
2015-05-01,2015-05-31,Hawaii,Condo/Co-op,381600,627
2019-05-01,2019-05-31,Alaska,Multi-Family (2-4 Unit),375400,38
2018-03-01,2018-03-31,New Jersey,Single Family Residential,290600,6608
2020-12-01,2020-12-31,South Carolina,All Residential,273600,6558
2018-08-01,2018-08-31,Arkansas,All Residential,166100,2878
2014-02-01,2014-02-28,Arizona,Condo/Co-op,106900,486
2012-04-01,2012-04-30,Maryland,All Residential,249000,4726
2018-03-01,2018-03-31,New Mexico,Single Family Residential,391600,190
2020-08-01,2020-08-31,Louisiana,All Residential,230800,3645
2020-11-01,2020-11-30,Nevada,Multi-Family (2-4 Unit),389400,39
2017-05-01,2017-05-31,Florida,Multi-Family (2-4 Unit),232100,394
2015-03-01,2015-03-31,Indiana,Multi-Family (2-4 Unit),58800,36
2018-04-01,2018-04-30,Columbia,Condo/Co-op,450000,347
2018-01-01,2018-01-31,Louisiana,Multi-Family (2-4 Unit),191600,86
2021-06-01,2021-06-30,Wisconsin,All Residential,261500,9288
2021-03-01,2021-03-31,Hawaii,All Residential,617800,1813
2014-12-01,2014-12-31,West Virginia,Townhouse,139900,32
2018-01-01,2018-01-31,New Jersey,Townhouse,229800,397
2017-08-01,2017-08-31,Georgia,Single Family Residential,224000,11220
2015-04-01,2015-04-30,Missouri,Townhouse,104800,66
2015-10-01,2015-10-31,Alaska,Single Family Residential,266800,592
2019-09-01,2019-09-30,Oregon,Multi-Family (2-4 Unit),409100,109
2013-06-01,2013-06-30,North Carolina,Townhouse,159400,489
2012-04-01,2012-04-30,South Dakota,Single Family Residential,153400,235
2012-02-01,2012-02-29,Hawaii,Townhouse,346700,47
2016-10-01,2016-10-31,Maine,Condo/Co-op,229900,159
2013-01-01,2013-01-31,Connecticut,Multi-Family (2-4 Unit),120500,87
2021-12-01,2021-12-31,Washington,Condo/Co-op,406300,874
2016-08-01,2016-08-31,Wisconsin,Single Family Residential,182300,6741
2020-02-01,2020-02-29,Kansas,Single Family Residential,222200,1315
2021-01-01,2021-01-31,Arizona,Townhouse,262900,840
2021-01-01,2021-01-31,Iowa,Multi-Family (2-4 Unit),171500,6
2018-06-01,2018-06-30,Alabama,Townhouse,149600,106
2012-07-01,2012-07-31,Tennessee,Condo/Co-op,119000,95
2012-02-01,2012-02-29,Maryland,Single Family Residential,249800,2123
2012-05-01,2012-05-31,Alabama,Single Family Residential,154900,977
2013-06-01,2013-06-30,Tennessee,Single Family Residential,143600,2731
2021-04-01,2021-04-30,Colorado,Single Family Residential,594600,5825
2019-01-01,2019-01-31,Kansas,Condo/Co-op,118300,13
2016-07-01,2016-07-31,California,Multi-Family (2-4 Unit),627600,1019
2016-04-01,2016-04-30,Mississippi,Condo/Co-op,113100,25
2015-08-01,2015-08-31,Virginia,Multi-Family (2-4 Unit),124000,37
2017-07-01,2017-07-31,Nevada,Townhouse,179000,284
2016-08-01,2016-08-31,Indiana,Condo/Co-op,130400,324
2022-05-01,2022-05-31,Delaware,All Residential,323100,916
2013-07-01,2013-07-31,Louisiana,All Residential,177400,2564
2012-10-01,2012-10-31,Connecticut,Condo/Co-op,147000,236
2022-05-01,2022-05-31,Washington,Multi-Family (2-4 Unit),772100,155
2017-08-01,2017-08-31,Rhode Island,Condo/Co-op,236200,205
2013-05-01,2013-05-31,Rhode Island,Condo/Co-op,231400,186
2014-10-01,2014-10-31,Missouri,Townhouse,97900,68
2020-11-01,2020-11-30,South Carolina,Multi-Family (2-4 Unit),403700,18
2021-04-01,2021-04-30,Virginia,Condo/Co-op,293800,1495
2013-03-01,2013-03-31,Arizona,All Residential,170900,9790
2019-12-01,2019-12-31,Washington,Townhouse,508300,529
2017-03-01,2017-03-31,North Carolina,All Residential,217300,10703
2016-09-01,2016-09-30,New Mexico,All Residential,316400,243
2015-03-01,2015-03-31,Idaho,Multi-Family (2-4 Unit),207000,30
2017-10-01,2017-10-31,Alaska,Multi-Family (2-4 Unit),400900,31
2014-05-01,2014-05-31,Pennsylvania,Multi-Family (2-4 Unit),106300,191
2015-11-01,2015-11-30,Wisconsin,Multi-Family (2-4 Unit),112100,216
2021-12-01,2021-12-31,Iowa,Townhouse,375500,1
2013-07-01,2013-07-31,Michigan,Multi-Family (2-4 Unit),89600,92
2022-05-01,2022-05-31,Arkansas,Townhouse,209700,33
2021-04-01,2021-04-30,Kentucky,Condo/Co-op,172900,275
2015-08-01,2015-08-31,Alaska,Single Family Residential,289200,605
2018-01-01,2018-01-31,Alabama,Condo/Co-op,259800,156
2018-12-01,2018-12-31,New Hampshire,Single Family Residential,268100,1207
2012-01-01,2012-01-31,Tennessee,Multi-Family (2-4 Unit),24100,10
2021-09-01,2021-09-30,New York,Townhouse,636000,381
2012-08-01,2012-08-31,Pennsylvania,Condo/Co-op,182200,507
2019-03-01,2019-03-31,Alabama,Multi-Family (2-4 Unit),279500,8
2015-01-01,2015-01-31,Tennessee,Multi-Family (2-4 Unit),103200,30
2014-09-01,2014-09-30,Wisconsin,Townhouse,140800,10
2020-09-01,2020-09-30,Mississippi,All Residential,207700,1535
2012-10-01,2012-10-31,Oregon,All Residential,214900,4096
2020-08-01,2020-08-31,North Carolina,Condo/Co-op,203500,578
2015-10-01,2015-10-31,Alabama,Multi-Family (2-4 Unit),135300,3
2020-10-01,2020-10-31,Massachusetts,Condo/Co-op,440500,1376
2014-08-01,2014-08-31,Missouri,Condo/Co-op,136600,372
2013-12-01,2013-12-31,Colorado,Single Family Residential,277900,4374
2021-01-01,2021-01-31,Michigan,Condo/Co-op,181800,983
2013-10-01,2013-10-31,South Carolina,Condo/Co-op,115000,437
2016-10-01,2016-10-31,New Jersey,Single Family Residential,292900,7275
2017-06-01,2017-06-30,Washington,All Residential,398500,13189
2014-11-01,2014-11-30,Pennsylvania,Multi-Family (2-4 Unit),97000,172
2018-04-01,2018-04-30,Utah,Condo/Co-op,276600,401
2022-02-01,2022-02-28,Florida,Condo/Co-op,290000,8274
2013-03-01,2013-03-31,Alaska,Single Family Residential,273400,341
2018-08-01,2018-08-31,Colorado,Townhouse,402400,469
2015-12-01,2015-12-31,Virginia,Multi-Family (2-4 Unit),168500,39
2022-04-01,2022-04-30,North Carolina,Multi-Family (2-4 Unit),313400,49
2015-01-01,2015-01-31,New Mexico,All Residential,285600,124
2017-11-01,2017-11-30,Texas,Multi-Family (2-4 Unit),237100,165
2014-12-01,2014-12-31,Delaware,All Residential,189300,659
2016-05-01,2016-05-31,Connecticut,Single Family Residential,271400,3028
2014-03-01,2014-03-31,Minnesota,All Residential,178500,4335
2017-06-01,2017-06-30,South Carolina,Single Family Residential,244800,4943
2016-09-01,2016-09-30,New York,Townhouse,421300,538
2015-10-01,2015-10-31,Utah,Condo/Co-op,222600,354
2019-05-01,2019-05-31,Texas,Single Family Residential,264000,28870
2018-04-01,2018-04-30,South Carolina,Townhouse,185600,287
2015-07-01,2015-07-31,Mississippi,All Residential,156700,1404
2014-04-01,2014-04-30,Oregon,Multi-Family (2-4 Unit),277600,84
2020-08-01,2020-08-31,Kentucky,Townhouse,167300,74
2016-06-01,2016-06-30,Wisconsin,Multi-Family (2-4 Unit),126700,376
2017-02-01,2017-02-28,Oklahoma,All Residential,149700,2439
2017-12-01,2017-12-31,West Virginia,All Residential,190200,390
2016-10-01,2016-10-31,Virginia,Townhouse,318600,1587
2013-12-01,2013-12-31,Georgia,Single Family Residential,174100,6753
2019-06-01,2019-06-30,West Virginia,Single Family Residential,217700,407
2017-10-01,2017-10-31,Hawaii,Multi-Family (2-4 Unit),260000,3
2021-07-01,2021-07-31,Texas,Condo/Co-op,258100,1313
2013-08-01,2013-08-31,Nevada,Single Family Residential,187800,3956
2020-02-01,2020-02-29,Kentucky,Condo/Co-op,142900,176
2015-11-01,2015-11-30,Michigan,Condo/Co-op,123300,1133
2022-01-01,2022-01-31,Alaska,Multi-Family (2-4 Unit),442200,24
2017-10-01,2017-10-31,Vermont,Townhouse,221200,56
2015-04-01,2015-04-30,Wisconsin,All Residential,132700,1957
2015-07-01,2015-07-31,Utah,Multi-Family (2-4 Unit),216000,51
2015-05-01,2015-05-31,Texas,Condo/Co-op,159900,1033
2016-07-01,2016-07-31,Washington,Single Family Residential,363600,9551
2017-11-01,2017-11-30,Utah,Single Family Residential,314200,2877
2012-12-01,2012-12-31,South Carolina,Single Family Residential,178500,1904
2017-12-01,2017-12-31,Columbia,Townhouse,659800,304
2018-01-01,2018-01-31,Delaware,Single Family Residential,229500,401
2013-09-01,2013-09-30,Utah,Single Family Residential,240100,2470
2015-08-01,2015-08-31,South Dakota,All Residential,174800,397
2013-04-01,2013-04-30,New Hampshire,Condo/Co-op,156200,157
2012-02-01,2012-02-29,Oregon,Condo/Co-op,155900,164
2021-12-01,2021-12-31,Massachusetts,Single Family Residential,532900,5191
2013-12-01,2013-12-31,Illinois,All Residential,164400,10404
2013-03-01,2013-03-31,Utah,Multi-Family (2-4 Unit),181300,42
2016-09-01,2016-09-30,Connecticut,Single Family Residential,273500,3240
2019-03-01,2019-03-31,Minnesota,Multi-Family (2-4 Unit),263100,102
2014-05-01,2014-05-31,Mississippi,All Residential,141000,1177
2016-05-01,2016-05-31,South Carolina,All Residential,210500,5288
2014-10-01,2014-10-31,Texas,Multi-Family (2-4 Unit),172300,198
2018-06-01,2018-06-30,Delaware,Townhouse,179100,256
2017-03-01,2017-03-31,Wisconsin,Condo/Co-op,154300,539
2019-03-01,2019-03-31,South Carolina,Townhouse,190000,301
2016-07-01,2016-07-31,New Hampshire,Multi-Family (2-4 Unit),225400,46
2021-09-01,2021-09-30,New Mexico,Single Family Residential,524300,254
2013-01-01,2013-01-31,Wisconsin,Multi-Family (2-4 Unit),40000,23
2018-10-01,2018-10-31,Kentucky,Condo/Co-op,144400,254
2014-01-01,2014-01-31,New York,Single Family Residential,226100,3896
2015-06-01,2015-06-30,Indiana,Townhouse,151000,112
2017-04-01,2017-04-30,Wisconsin,Condo/Co-op,163100,591
2018-04-01,2018-04-30,Virginia,Single Family Residential,344900,7317
2021-08-01,2021-08-31,New Jersey,Single Family Residential,450600,10141
2020-03-01,2020-03-31,Ohio,Townhouse,180700,85
2020-03-01,2020-03-31,North Carolina,Multi-Family (2-4 Unit),237100,40
2012-04-01,2012-04-30,Alaska,Condo/Co-op,174500,76
2021-04-01,2021-04-30,Texas,Single Family Residential,319200,27982
2017-12-01,2017-12-31,Louisiana,Single Family Residential,204200,2135
2014-05-01,2014-05-31,Rhode Island,Single Family Residential,211600,784
2017-10-01,2017-10-31,Mississippi,Single Family Residential,171100,1113
2016-11-01,2016-11-30,Colorado,Multi-Family (2-4 Unit),495500,54
2016-09-01,2016-09-30,Maryland,Townhouse,208100,2187
2017-04-01,2017-04-30,North Carolina,Multi-Family (2-4 Unit),162200,30
2016-02-01,2016-02-29,Georgia,All Residential,189100,8146
2017-07-01,2017-07-31,Minnesota,Multi-Family (2-4 Unit),228900,162
2018-12-01,2018-12-31,Nevada,All Residential,286300,3521
2021-03-01,2021-03-31,Alabama,Single Family Residential,247900,3861
2015-10-01,2015-10-31,South Carolina,Condo/Co-op,133300,505
2020-09-01,2020-09-30,Missouri,Condo/Co-op,164100,480
2017-05-01,2017-05-31,Texas,Multi-Family (2-4 Unit),211600,228
2019-10-01,2019-10-31,Missouri,Single Family Residential,191300,5207
2022-04-01,2022-04-30,Michigan,All Residential,240400,10270
2013-04-01,2013-04-30,Nevada,All Residential,158400,4656
2012-05-01,2012-05-31,Utah,Townhouse,141200,212
2018-09-01,2018-09-30,Minnesota,Single Family Residential,249500,5525
2022-01-01,2022-01-31,Rhode Island,Condo/Co-op,302800,159
2018-09-01,2018-09-30,Maryland,Single Family Residential,354000,3822
2019-11-01,2019-11-30,Wisconsin,Townhouse,201500,68
2020-10-01,2020-10-31,Nebraska,Townhouse,239700,143
2015-10-01,2015-10-31,Connecticut,All Residential,184600,2046
2017-11-01,2017-11-30,Tennessee,Single Family Residential,228300,6156
2021-09-01,2021-09-30,North Carolina,All Residential,317300,13797
2022-05-01,2022-05-31,Ohio,Townhouse,262200,148
2014-02-01,2014-02-28,Iowa,Multi-Family (2-4 Unit),107000,3
2022-01-01,2022-01-31,Virginia,Single Family Residential,381100,5740
2021-02-01,2021-02-28,Mississippi,Multi-Family (2-4 Unit),162100,10
2018-03-01,2018-03-31,Arizona,All Residential,253800,11700
2019-11-01,2019-11-30,Delaware,Multi-Family (2-4 Unit),134800,4
2015-05-01,2015-05-31,Arizona,Single Family Residential,224900,8581
2012-07-01,2012-07-31,Illinois,Multi-Family (2-4 Unit),111200,351
2014-04-01,2014-04-30,Nevada,Condo/Co-op,83900,364
2013-01-01,2013-01-31,New Jersey,All Residential,237500,2212
2013-02-01,2013-02-28,Maryland,All Residential,224500,3564
2019-03-01,2019-03-31,Washington,Multi-Family (2-4 Unit),375000,91
2019-04-01,2019-04-30,Washington,Multi-Family (2-4 Unit),462700,123
2013-02-01,2013-02-28,Oklahoma,Condo/Co-op,78100,43
2017-03-01,2017-03-31,Arizona,Multi-Family (2-4 Unit),213800,97
2014-06-01,2014-06-30,Georgia,All Residential,192200,10362
2019-08-01,2019-08-31,Maryland,Single Family Residential,384900,5059
2019-04-01,2019-04-30,Kentucky,Single Family Residential,186800,2749
2014-05-01,2014-05-31,Connecticut,Condo/Co-op,149500,308
2014-05-01,2014-05-31,Iowa,All Residential,158400,1249
2013-12-01,2013-12-31,Arkansas,Condo/Co-op,113400,14
2016-02-01,2016-02-29,Indiana,Condo/Co-op,106400,160
2021-02-01,2021-02-28,Nebraska,Multi-Family (2-4 Unit),212500,11
2013-09-01,2013-09-30,Vermont,Townhouse,202400,42
2021-09-01,2021-09-30,South Dakota,All Residential,275900,478
2015-10-01,2015-10-31,Texas,All Residential,205300,20636
2014-07-01,2014-07-31,Connecticut,All Residential,209900,2182
2013-05-01,2013-05-31,Pennsylvania,Condo/Co-op,195100,592
2019-03-01,2019-03-31,Oregon,Townhouse,327100,202
2018-02-01,2018-02-28,New York,Single Family Residential,314300,5559
2015-09-01,2015-09-30,Iowa,Single Family Residential,174700,985
2017-01-01,2017-01-31,Vermont,All Residential,202600,438
2019-06-01,2019-06-30,Pennsylvania,Condo/Co-op,222000,526
2020-09-01,2020-09-30,South Carolina,Condo/Co-op,170700,807
2013-07-01,2013-07-31,Massachusetts,All Residential,342300,8520
2022-05-01,2022-05-31,Maine,All Residential,348700,1598
2018-01-01,2018-01-31,New Hampshire,Multi-Family (2-4 Unit),257100,64
2015-05-01,2015-05-31,Alabama,All Residential,177000,3061
2020-08-01,2020-08-31,Rhode Island,All Residential,337400,1520
2020-03-01,2020-03-31,Iowa,Single Family Residential,210500,998
2019-01-01,2019-01-31,Idaho,Multi-Family (2-4 Unit),267600,19
2012-08-01,2012-08-31,Columbia,Multi-Family (2-4 Unit),289500,9
2013-08-01,2013-08-31,Arizona,Multi-Family (2-4 Unit),131500,85
2018-04-01,2018-04-30,Louisiana,All Residential,209800,2843
2018-12-01,2018-12-31,Maryland,Multi-Family (2-4 Unit),146500,22
2020-07-01,2020-07-31,Virginia,Condo/Co-op,273000,1309
2018-08-01,2018-08-31,Pennsylvania,Single Family Residential,237600,8907
2016-08-01,2016-08-31,Connecticut,Condo/Co-op,182400,921
2019-05-01,2019-05-31,Illinois,Single Family Residential,235100,11107
2014-05-01,2014-05-31,Rhode Island,Condo/Co-op,204700,153
2013-01-01,2013-01-31,Pennsylvania,All Residential,160500,5644
2016-02-01,2016-02-29,South Dakota,Condo/Co-op,109500,6
2016-02-01,2016-02-29,Pennsylvania,All Residential,167700,6737
2017-12-01,2017-12-31,Illinois,Townhouse,191400,1026
2016-09-01,2016-09-30,South Dakota,Single Family Residential,195900,369
2019-06-01,2019-06-30,Indiana,Single Family Residential,208300,5020
2019-06-01,2019-06-30,Oklahoma,Condo/Co-op,85100,69
2019-09-01,2019-09-30,Missouri,Multi-Family (2-4 Unit),147100,119
2015-09-01,2015-09-30,Oklahoma,Single Family Residential,156200,3367
2018-05-01,2018-05-31,Washington,Single Family Residential,443900,9616
2014-03-01,2014-03-31,Louisiana,Townhouse,166500,32
2022-03-01,2022-03-31,Tennessee,Multi-Family (2-4 Unit),306300,63
2019-05-01,2019-05-31,Ohio,Townhouse,187000,118
2019-03-01,2019-03-31,Iowa,Condo/Co-op,172800,122
2019-06-01,2019-06-30,New Jersey,All Residential,331600,11837
2019-06-01,2019-06-30,Vermont,All Residential,244300,891
2015-02-01,2015-02-28,Wisconsin,Townhouse,109000,3
2014-06-01,2014-06-30,Nebraska,Single Family Residential,160400,1643
2020-01-01,2020-01-31,Tennessee,Condo/Co-op,247800,285
2013-09-01,2013-09-30,Hawaii,Condo/Co-op,339700,530
2015-12-01,2015-12-31,Ohio,Condo/Co-op,114000,949
2021-03-01,2021-03-31,Washington,Single Family Residential,569700,8005
2020-08-01,2020-08-31,Delaware,Condo/Co-op,142000,51
2019-11-01,2019-11-30,Florida,Townhouse,224300,2377
2016-03-01,2016-03-31,Pennsylvania,Townhouse,148000,2205
2015-09-01,2015-09-30,Illinois,Condo/Co-op,203600,2414
2016-07-01,2016-07-31,Pennsylvania,Condo/Co-op,208400,601
2016-09-01,2016-09-30,Florida,Multi-Family (2-4 Unit),196600,351
2021-12-01,2021-12-31,Wisconsin,Condo/Co-op,216500,611
2020-05-01,2020-05-31,Kansas,Townhouse,193600,78
2012-09-01,2012-09-30,Idaho,Townhouse,132300,25
2019-04-01,2019-04-30,Mississippi,Single Family Residential,179700,1264
2017-05-01,2017-05-31,Maryland,Condo/Co-op,179400,629
2012-10-01,2012-10-31,Alaska,Single Family Residential,265500,462
2020-03-01,2020-03-31,Alaska,Single Family Residential,316700,425
2014-11-01,2014-11-30,South Carolina,Condo/Co-op,126100,377
2020-08-01,2020-08-31,Kentucky,Single Family Residential,228300,3546
2017-10-01,2017-10-31,Washington,Condo/Co-op,312700,1106
2017-01-01,2017-01-31,South Dakota,Condo/Co-op,179900,1
2021-09-01,2021-09-30,Hawaii,Multi-Family (2-4 Unit),1028800,4
2018-03-01,2018-03-31,Maryland,Townhouse,226700,2354
2014-10-01,2014-10-31,Georgia,All Residential,175400,9191
2016-11-01,2016-11-30,South Carolina,All Residential,211800,3985
2013-08-01,2013-08-31,Maine,Multi-Family (2-4 Unit),74400,5
2021-07-01,2021-07-31,Idaho,Single Family Residential,465500,2688
2015-03-01,2015-03-31,Oregon,Condo/Co-op,205100,335
2018-04-01,2018-04-30,Massachusetts,Condo/Co-op,440000,1155
2015-11-01,2015-11-30,Nevada,Single Family Residential,235500,2634
2021-12-01,2021-12-31,Hawaii,All Residential,721000,1663
2018-05-01,2018-05-31,Nevada,All Residential,283900,5086
2019-01-01,2019-01-31,Delaware,Condo/Co-op,117000,24
2018-09-01,2018-09-30,Washington,Multi-Family (2-4 Unit),434600,106
2015-12-01,2015-12-31,Hawaii,All Residential,471900,1212
2021-01-01,2021-01-31,Louisiana,Single Family Residential,230100,2430
2019-03-01,2019-03-31,Tennessee,Townhouse,207600,236
2013-09-01,2013-09-30,Idaho,Single Family Residential,169500,1601
2013-06-01,2013-06-30,Maryland,All Residential,284600,6685
2019-08-01,2019-08-31,Hawaii,Multi-Family (2-4 Unit),200000,3
2020-10-01,2020-10-31,South Dakota,All Residential,239500,514
2014-02-01,2014-02-28,Washington,Single Family Residential,291800,4026
2013-03-01,2013-03-31,Virginia,Single Family Residential,311000,3731
2012-07-01,2012-07-31,Utah,Single Family Residential,206300,2448
2018-07-01,2018-07-31,Connecticut,Multi-Family (2-4 Unit),191900,305
2021-11-01,2021-11-30,Delaware,Single Family Residential,339200,699
2015-03-01,2015-03-31,Alabama,All Residential,162700,2732
2019-05-01,2019-05-31,Connecticut,Multi-Family (2-4 Unit),229500,289
2022-04-01,2022-04-30,Oklahoma,Multi-Family (2-4 Unit),231800,56
2020-06-01,2020-06-30,Minnesota,All Residential,280200,8620
2014-07-01,2014-07-31,Colorado,Multi-Family (2-4 Unit),529900,63
2020-01-01,2020-01-31,Texas,All Residential,245500,17628
2012-04-01,2012-04-30,Arizona,All Residential,142100,10180
2022-03-01,2022-03-31,Colorado,Townhouse,532500,810
2016-08-01,2016-08-31,Illinois,Townhouse,190800,1444
2016-06-01,2016-06-30,New Hampshire,Townhouse,194800,247
2018-10-01,2018-10-31,Louisiana,All Residential,201700,2564
2015-06-01,2015-06-30,Ohio,Townhouse,141400,79
2021-05-01,2021-05-31,Arkansas,Condo/Co-op,207400,76
2020-02-01,2020-02-29,New Jersey,All Residential,308100,7300
2013-08-01,2013-08-31,New Hampshire,All Residential,211300,2006
2013-02-01,2013-02-28,Pennsylvania,Multi-Family (2-4 Unit),94900,137
2013-04-01,2013-04-30,Kentucky,Townhouse,108900,43
2018-09-01,2018-09-30,Delaware,Single Family Residential,252400,573
2018-11-01,2018-11-30,South Dakota,Condo/Co-op,155900,8
2016-01-01,2016-01-31,Ohio,Townhouse,130500,43
2016-05-01,2016-05-31,Maryland,Condo/Co-op,181300,626
2019-02-01,2019-02-28,Indiana,Townhouse,165900,54
2013-10-01,2013-10-31,West Virginia,Townhouse,139600,28
2017-12-01,2017-12-31,Hawaii,Townhouse,847300,11
